*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
! TAV  =    23.6
! TAMP =     1.8
!               Temperature (oC) by soil depth (cm):
!               Surface    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    TS9D    
 2015 165    63    25.7    25.7    25.6    25.6    25.6    25.5    25.5    25.4    25.4    25.4
 2015 166    64    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8    25.7    25.7
 2015 167    65    26.1    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8    25.7
 2015 168    66    26.2    26.2    26.1    26.1    26.0    26.0    25.9    25.8    25.8    25.7
 2015 169    67    26.2    26.2    26.1    26.1    26.0    25.9    25.9    25.8    25.8    25.7
 2015 170    68    26.0    25.9    25.9    25.8    25.8    25.7    25.7    25.6    25.6    25.6
 2015 171    69    25.4    25.3    25.3    25.3    25.2    25.2    25.2    25.1    25.1    25.1
 2015 172    70    24.7    24.7    24.6    24.6    24.6    24.6    24.6    24.6    24.5    24.5
 2015 173    71    24.2    24.2    24.2    24.2    24.2    24.2    24.2    24.1    24.1    24.1
 2015 174    72    23.8    23.8    23.8    23.8    23.8    23.8    23.8    23.8    23.8    23.8
 2015 175    73    23.4    23.4    23.5    23.5    23.5    23.5    23.5    23.5    23.5    23.6

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
! TAV  =    23.6
! TAMP =     1.8
!               Temperature (oC) by soil depth (cm):
!               Surface    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    TS9D    
 2015 126     1    27.1    27.1    27.0    26.9    26.8    26.8    26.7    26.6    26.6    26.5
 2015 127     2    26.7    26.6    26.6    26.5    26.4    26.4    26.3    26.3    26.2    26.1
 2015 128     3    26.4    26.3    26.3    26.2    26.2    26.1    26.1    26.0    26.0    25.9
 2015 129     4    25.7    25.7    25.7    25.6    25.6    25.6    25.5    25.5    25.5    25.4
 2015 130     5    25.4    25.4    25.3    25.3    25.3    25.3    25.2    25.2    25.2    25.2
 2015 131     6    24.5    24.5    24.5    24.5    24.5    24.5    24.5    24.5    24.5    24.5
 2015 132     7    23.6    23.6    23.6    23.7    23.7    23.7    23.7    23.7    23.8    23.8
 2015 133     8    22.8    22.9    22.9    23.0    23.0    23.0    23.1    23.1    23.1    23.2
 2015 134     9    22.8    22.8    22.8    22.9    22.9    23.0    23.0    23.0    23.1    23.1
 2015 135    10    22.2    22.3    22.3    22.4    22.5    22.5    22.6    22.6    22.7    22.7
 2015 136    11    22.7    22.8    22.8    22.9    22.9    22.9    23.0    23.0    23.1    23.1
 2015 137    12    23.5    23.5    23.6    23.6    23.6    23.6    23.6    23.7    23.7    23.7
 2015 138    13    24.1    24.1    24.1    24.1    24.1    24.1    24.1    24.1    24.1    24.1
 2015 139    14    24.3    24.3    24.3    24.3    24.3    24.3    24.3    24.3    24.3    24.3
 2015 140    15    24.6    24.6    24.5    24.5    24.5    24.5    24.5    24.5    24.5    24.5
 2015 141    16    25.0    25.0    25.0    25.0    25.0    25.0    24.9    24.9    24.9    24.9
 2015 142    17    25.0    25.0    25.0    24.9    24.9    24.9    24.9    24.9    24.9    24.8
 2015 143    18    24.9    24.9    24.9    24.9    24.9    24.9    24.8    24.8    24.8    24.8
 2015 144    19    25.1    25.1    25.1    25.0    25.0    25.0    25.0    25.0    24.9    24.9
 2015 145    20    25.5    25.5    25.5    25.5    25.4    25.4    25.4    25.3    25.3    25.3
 2015 146    21    25.9    25.9    25.9    25.8    25.8    25.7    25.7    25.6    25.6    25.6
 2015 147    22    26.3    26.3    26.2    26.2    26.1    26.1    26.0    26.0    25.9    25.9
 2015 148    23    26.3    26.3    26.2    26.2    26.1    26.0    26.0    25.9    25.9    25.9
 2015 149    24    25.9    25.9    25.8    25.8    25.7    25.7    25.6    25.6    25.6    25.5
 2015 150    25    25.7    25.7    25.6    25.6    25.6    25.5    25.5    25.5    25.4    25.4
 2015 151    26    25.9    25.9    25.8    25.8    25.7    25.7    25.6    25.6    25.6    25.5
 2015 152    27    25.9    25.9    25.8    25.8    25.7    25.7    25.6    25.6    25.6    25.5
 2015 153    28    26.2    26.2    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8
 2015 154    29    26.5    26.5    26.4    26.3    26.3    26.2    26.2    26.1    26.1    26.0
 2015 155    30    26.3    26.3    26.3    26.2    26.1    26.1    26.0    26.0    25.9    25.9
 2015 156    31    25.8    25.8    25.8    25.7    25.7    25.6    25.6    25.6    25.5    25.5
 2015 157    32    25.7    25.6    25.6    25.6    25.5    25.5    25.4    25.4    25.4    25.3
 2015 158    33    25.5    25.5    25.4    25.4    25.3    25.3    25.3    25.3    25.2    25.2
 2015 159    34    25.5    25.5    25.4    25.4    25.3    25.3    25.3    25.3    25.2    25.2
 2015 160    35    25.6    25.6    25.6    25.5    25.5    25.4    25.4    25.4    25.3    25.3
 2015 161    36    25.5    25.5    25.5    25.4    25.4    25.3    25.3    25.3    25.2    25.2
 2015 162    37    25.6    25.5    25.5    25.5    25.4    25.4    25.4    25.3    25.3    25.3
 2015 163    38    25.5    25.5    25.5    25.5    25.4    25.4    25.3    25.3    25.3    25.2
 2015 164    39    25.7    25.6    25.6    25.5    25.5    25.5    25.4    25.4    25.4    25.3
 2015 165    40    25.7    25.7    25.6    25.6    25.6    25.5    25.5    25.4    25.4    25.4
 2015 166    41    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8    25.7    25.7
 2015 167    42    26.2    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8    25.7
 2015 168    43    26.2    26.2    26.1    26.1    26.0    25.9    25.9    25.8    25.8    25.7
 2015 169    44    26.2    26.2    26.1    26.1    26.0    25.9    25.9    25.8    25.8    25.7
 2015 170    45    26.0    25.9    25.9    25.8    25.8    25.7    25.7    25.6    25.6    25.5
 2015 171    46    25.3    25.3    25.3    25.2    25.2    25.2    25.1    25.1    25.1    25.0
 2015 172    47    24.6    24.6    24.6    24.6    24.5    24.5    24.5    24.5    24.5    24.5
 2015 173    48    24.1    24.1    24.1    24.1    24.1    24.1    24.1    24.1    24.1    24.1
 2015 174    49    23.7    23.7    23.7    23.7    23.7    23.8    23.8    23.8    23.8    23.8
 2015 175    50    23.4    23.4    23.4    23.4    23.5    23.5    23.5    23.5    23.5    23.5
 2015 176    51    23.6    23.6    23.6    23.6    23.6    23.6    23.7    23.7    23.7    23.7
 2015 177    52    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7
 2015 178    53    23.4    23.4    23.5    23.5    23.5    23.5    23.5    23.5    23.5    23.6
 2015 179    54    23.2    23.2    23.2    23.2    23.2    23.3    23.3    23.3    23.3    23.3
 2015 180    55    23.2    23.3    23.3    23.3    23.3    23.3    23.3    23.4    23.4    23.4
 2015 181    56    23.2    23.2    23.2    23.3    23.3    23.3    23.3    23.3    23.3    23.4
 2015 182    57    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7
 2015 183    58    24.3    24.3    24.3    24.3    24.3    24.2    24.2    24.2    24.2    24.2
 2015 184    59    24.8    24.8    24.8    24.8    24.7    24.7    24.7    24.7    24.6    24.6
