*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 166    19    18     4.1     0.0     4.1    0.00    3.52      0.5     3.9     3.5     0.6    3.84    2.41     0.0    1.6    0.0    0.02    0.19
 2015 167    20    19     4.8     0.0     4.8    0.00    3.53      0.5     4.7     4.1     0.7    3.85    2.41     0.0    1.6    0.0    0.02    0.21
 2015 168    21    20     5.6     0.0     5.6    0.00    3.54      0.5     5.6     4.7     0.8    3.85    2.41     0.0    1.6    0.0    0.09    0.23
 2015 169    22    21     6.2     0.0     6.2    0.00    3.54      0.5     6.6     5.3     0.9    3.85    2.42     0.0    1.6    0.0    0.31    0.24
 2015 170    23    22     6.9     0.0     6.9    0.00    3.54      0.5     7.7     5.9     1.0    3.86    2.42     0.0    1.6    0.0    0.31    0.26
 2015 171    24    23     7.2     0.0     7.2    0.00    3.54      0.5     8.4     6.1     1.1    3.86    2.42     0.0    1.6    0.0    0.31    0.28
 2015 172    25    24     7.4     0.0     7.4    0.00    3.55      0.5     9.1     6.3     1.1    3.86    2.42     0.0    1.6    0.0    0.31    0.31
 2015 173    26    25     7.8     0.0     7.8    0.00    3.52      0.5    10.0     6.7     1.2    3.83    2.40     0.0    1.6    0.0    0.33    0.33
 2015 174    27    26     9.1     0.0     9.1    0.00    3.54      0.5    11.4     7.8     1.3    3.84    2.41     0.0    1.6    0.0    0.35    0.36
 2015 175    28    27     9.9     0.0     9.9    0.00    3.52      0.5    12.8     8.4     1.5    3.84    2.41     0.0    1.6    0.0    0.83    0.39
 2015 176    29    28    10.7     0.0    10.7    0.00    3.50      0.6    14.3     9.0     1.7    3.84    2.41     0.0    1.6    0.0    1.49    0.41
 2015 177    30    29    11.1     0.0    11.1    0.00    3.27      0.8    14.9     9.3     1.9    3.61    2.23     0.0    1.6    0.2    1.77    0.44
 2015 178    31    30    12.8     0.0    12.8    0.00    3.33      0.8    16.6    10.5     2.3    3.68    2.31     0.0    1.6    0.0    1.77    0.46
 2015 179    32    31    14.7     0.0    14.7    0.00    3.41      0.8    18.9    11.9     2.8    3.78    2.41     0.0    1.6    0.0    1.77    0.49
 2015 180    33    32    16.5     0.0    16.5    0.00    3.40      0.8    21.0    13.2     3.3    3.80    2.41     0.0    1.6    0.0    1.77    0.52
 2015 181    34    33    17.3     0.0    17.3    0.00    3.19      1.2    21.7    13.7     3.6    3.63    2.20     0.0    1.6    0.3    1.81    0.55
 2015 182    35    34    19.3     0.0    19.3    0.00    3.17      1.2    23.9    15.0     4.4    3.63    2.22     0.0    1.6    0.0    1.83    0.59
 2015 183    36    35    21.8     0.0    21.8    0.00    3.30      1.2    27.5    16.5     5.3    3.78    2.36     0.0    1.6    0.0    1.92    0.63
 2015 184    37    36    23.3     0.0    23.3    0.00    3.25      1.7    28.9    17.2     6.0    3.80    2.29     0.0    1.6    0.4    2.19    0.67
 2015 185    38    37    25.2     0.0    25.2    0.00    3.25      1.7    31.9    18.3     6.9    3.85    2.30     0.0    1.6    0.0    2.31    0.71
 2015 186    39    38    26.8     0.0    26.8    0.00    3.26      1.7    34.5    19.1     7.7    3.92    2.29     0.0    1.6    0.0    2.51    0.75
 2015 187    40    39    28.3     0.0    28.3    0.00    3.26      1.7    36.8    19.8     8.5    3.99    2.29     0.0    1.6    0.0    2.71    0.79
 2015 188    41    40    29.2     0.0    29.2    0.00    3.29      1.8    38.5    20.2     9.0    4.07    2.31     0.0    1.6    0.0    2.91    0.84
 2015 189    42    41    29.7     0.0    29.7    0.00    3.32      1.8    39.5    20.4     9.3    4.11    2.33     0.0    1.6    0.0    2.99    0.89
 2015 190    43    42    31.3     0.0    31.3    0.00    3.26      1.8    41.9    21.1    10.2    4.09    2.29     0.0    1.6    0.0    3.03    0.94
 2015 191    44    43    32.4     0.0    32.4    0.00    3.16      2.4    42.9    21.4    11.0    4.05    2.21     0.0    1.7    0.5    3.16    0.98
 2015 192    45    44    34.6     0.0    34.6    0.00    3.14      2.4    46.0    22.5    12.2    4.04    2.22     3.9    1.7    0.0    3.16    1.06
 2015 193    46    45    36.7     0.0    36.5    0.00    3.15      2.4    49.3    23.3    13.2    4.09    2.24     3.4    1.7    0.0    3.30    1.13
 2015 194    47    46    38.0     0.3    37.1    3.61    3.05      3.1    50.3    23.4    13.7    4.03    2.15     3.5    1.7    0.6    3.48    1.19
 2015 195    48    47    40.7     0.7    38.6    3.61    3.05      3.1    53.1    24.0    14.6    4.05    2.18     3.5    1.7    0.0    3.55    1.27
 2015 196    49    48    43.8     1.6    40.0    3.60    3.08      3.1    56.3    24.6    15.4    4.08    2.21     3.5    1.7    0.0    3.59    1.35
 2015 197    50    49    46.5     2.7    40.5    3.60    3.09      3.1    59.2    24.8    15.7    4.09    2.22     3.5    1.7    0.0    3.68    1.43
 2015 198    51    50    48.0     4.0    39.4    3.59    2.98      3.7    60.2    24.1    15.3    4.01    2.12     3.5    1.7    0.6    3.82    1.48
 2015 199    52    51    50.4     5.5    38.8    3.58    2.97      3.7    62.7    23.6    15.1    4.00    2.12     3.4    1.7    0.0    3.94    1.56
 2015 200    53    52    52.5     7.5    37.6    3.58    2.94      3.7    65.1    22.9    14.7    3.97    2.10     3.4    1.7    0.0    4.04    1.63
 2015 201    54    53    54.7     9.4    36.4    3.58    2.91      3.7    67.6    22.1    14.3    3.94    2.07     3.4    1.6    0.0    4.16    1.71
 2015 202    55    54    56.6    11.4    35.1    3.59    2.87      3.7    69.8    21.3    13.8    3.90    2.03     3.3    1.6    0.0    4.27    1.78
 2015 203    56    55    58.1    13.4    33.7    3.60    2.82      3.7    71.6    20.4    13.3    3.85    1.99     3.3    1.6    0.0    4.39    1.85
 2015 204    57    56    59.2    15.5    32.1    3.61    2.74      4.1    72.4    19.4    12.7    3.78    1.93     3.2    1.5    0.4    4.51    1.91
 2015 205    58    57    60.9    17.5    30.9    3.61    2.69      4.6    74.2    18.6    12.3    3.73    1.89     3.2    1.5    0.4    4.64    1.96
 2015 206    59    58    62.7    19.9    29.6    3.62    2.64      4.6    76.2    17.8    11.8    3.68    1.86     3.2    1.5    0.0    4.76    2.03
 2015 207    60    59    63.9    22.4    27.8    3.62    2.58      4.6    78.2    16.5    11.3    3.62    1.82     3.1    1.5    0.0    5.37    2.09
 2015 208    61    60    65.2    25.0    26.2    3.63    2.52      4.6    80.2    15.4    10.8    3.56    1.78     3.1    1.4    0.0    5.92    2.14
 2015 209    62    61    66.1    27.4    25.1    3.59    2.47      5.1    80.6    14.7    10.4    3.50    1.74     3.0    1.4    0.5    6.01    2.17
 2015 210    63    62    67.7    30.3    24.0    3.60    2.41      5.7    81.8    14.0    10.0    3.44    1.69     2.9    1.4    0.5    6.10    2.21
 2015 211    64    63    69.4    33.2    22.8    3.60    2.35      5.7    83.7    13.3     9.5    3.37    1.65     2.9    1.4    0.0    6.20    2.27
 2015 212    65    64    71.0    35.9    21.7    3.60    2.29      5.7    85.4    12.6     9.1    3.31    1.61     2.8    1.3    0.0    6.29    2.33
 2015 213    66    65    71.9    38.4    20.6    3.59    2.19      6.2    85.8    11.9     8.7    3.20    1.53     2.7    1.3    0.5    6.38    2.36
 2015 214    67    66    73.3    40.9    19.6    3.59    2.13      6.7    86.9    11.2     8.3    3.13    1.49     2.7    1.3    0.5    6.46    2.39
 2015 215    68    67    74.8    43.8    18.5    3.60    2.07      6.7    88.4    10.5     7.9    3.05    1.45     2.6    1.3    0.0    6.55    2.45
 2015 216    69    68    72.1    45.6    14.5    3.56    1.82      6.7    88.7     7.3     7.2    2.84    1.34     2.5    1.2    0.0    9.56    2.48
 2015 217    70    69    70.9    47.8    11.7    3.55    1.66      6.7    89.6     5.1     6.6    2.67    1.29     2.4    1.2    0.0   11.65    2.51
 2015 218    71    70    70.4    49.7     9.7    3.55    1.53      6.7    90.5     3.5     6.1    2.54    1.25     2.3    1.2    0.0   13.11    2.56
 2015 219    72    71    69.9    51.2     8.2    3.55    1.43      6.7    91.0     2.5     5.7    2.41    1.21     2.3    1.2    0.0   14.12    2.61
 2015 220    73    72    69.5    52.1     7.2    3.55    1.34      6.7    91.3     1.7     5.4    2.31    1.18     2.2    1.2    0.0   14.83    2.63
 2015 221    74    73    69.2    52.9     6.4    3.55    1.27      6.7    91.5     1.2     5.2    2.21    1.16     2.1    1.2    0.0   15.33    2.67
 2015 222    75    74    69.0    53.5     5.8    3.56    1.21      6.7    91.6     0.9     5.0    2.12    1.13     2.1    1.1    0.0   15.69    2.72
 2015 223    76    75    68.7    53.9     5.4    3.56    1.18      6.7    91.6     0.6     4.8    2.06    1.12     2.1    1.1    0.0   15.94    2.76
 2015 224    77    76    68.5    54.2     5.1    3.56    1.15      6.7    91.6     0.5     4.7    2.02    1.11     2.0    1.1    0.0   16.12    2.80
