*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 144    42    41    44.2     0.0    44.0    0.00    3.02      8.0    47.8    26.8    17.3    3.93    2.22     3.6    1.8    0.0    2.72    1.22
 2015 145    43    42    47.3     0.2    46.4    3.71    3.04      8.0    52.1    27.8    18.6    4.00    2.25     3.5    1.8    0.0    2.87    1.34
 2015 146    44    43    48.9     0.8    46.5    3.69    2.96      9.3    53.0    27.6    18.9    3.95    2.17     3.5    1.7    1.1    3.07    1.41
 2015 147    45    44    51.4     1.9    46.6    3.69    2.92      9.3    55.7    27.4    19.2    3.92    2.14     3.5    1.7    0.0    3.19    1.54
 2015 148    46    45    55.3     3.4    47.4    3.64    2.97      9.3    59.6    27.8    19.6    3.96    2.19     3.5    1.8    0.0    3.24    1.64
 2015 149    47    46    58.0     5.2    46.6    3.61    2.96      9.3    62.4    27.3    19.3    3.95    2.18     3.5    1.7    0.0    3.36    1.74
 2015 150    48    47    60.5     7.3    45.4    3.60    2.93      9.3    65.2    26.5    18.8    3.92    2.16     3.4    1.7    0.0    3.46    1.84
 2015 151    49    48    63.2     9.4    44.2    3.60    2.90      9.3    68.2    25.8    18.4    3.90    2.14     3.4    1.7    0.0    3.56    1.94
 2015 152    50    49    64.9    11.6    42.7    3.60    2.85      9.8    69.4    24.9    17.8    3.85    2.09     3.4    1.7    0.5    3.67    2.01
 2015 153    51    50    67.1    14.0    41.1    3.61    2.81     10.2    71.7    23.9    17.2    3.81    2.06     3.3    1.6    0.5    3.80    2.07
 2015 154    52    51    69.2    16.3    39.5    3.61    2.76     10.2    74.1    22.9    16.6    3.76    2.02     3.3    1.6    0.0    3.93    2.17
 2015 155    53    52    71.3    18.6    38.0    3.61    2.71     10.2    76.7    22.0    16.0    3.71    1.98     3.3    1.6    0.0    4.12    2.26
 2015 156    54    53    72.3    21.3    36.0    3.61    2.60     11.2    77.4    20.7    15.4    3.62    1.89     3.2    1.6    0.9    4.78    2.31
 2015 157    55    54    74.2    23.9    34.6    3.61    2.56     12.0    78.9    19.8    14.8    3.57    1.85     3.1    1.5    0.9    4.91    2.36
 2015 158    56    55    76.2    27.0    33.1    3.61    2.51     12.2    80.9    18.9    14.2    3.51    1.81     3.1    1.5    0.2    5.03    2.41
 2015 159    57    56    78.2    30.0    31.8    3.61    2.46     12.2    83.1    18.1    13.7    3.46    1.78     3.0    1.5    0.0    5.18    2.49
 2015 160    58    57    79.4    33.1    30.4    3.60    2.35     13.2    83.4    17.3    13.2    3.36    1.69     3.0    1.5    1.0    5.28    2.53
 2015 161    59    58    80.9    36.3    29.1    3.60    2.30     14.1    84.2    16.4    12.7    3.30    1.65     2.9    1.4    0.9    5.39    2.57
 2015 162    60    59    82.7    39.4    27.7    3.60    2.25     15.0    85.4    15.6    12.1    3.24    1.61     2.8    1.4    0.9    5.49    2.62
 2015 163    61    60    83.8    42.5    26.3    3.60    2.15     16.0    85.6    14.8    11.6    3.14    1.54     2.8    1.4    1.0    5.60    2.66
 2015 164    62    61    85.4    45.6    25.1    3.60    2.08     17.1    86.2    14.0    11.1    3.05    1.49     2.7    1.3    1.0    5.71    2.70
 2015 165    63    62    87.1    48.6    23.8    3.61    2.03     18.0    87.2    13.2    10.6    2.98    1.45     2.6    1.3    0.9    5.80    2.73
 2015 166    64    63    88.2    51.6    22.5    3.59    1.94     18.0    88.3    12.4    10.1    2.88    1.38     2.5    1.3    0.0    5.91    2.77
 2015 167    65    64    85.2    53.8    17.9    3.56    1.74     18.0    88.9     8.7     9.2    2.70    1.30     2.5    1.3    0.0    9.46    2.80
 2015 168    66    65    83.6    56.0    14.5    3.54    1.60     18.0    89.7     6.0     8.5    2.56    1.26     2.4    1.2    0.0   11.94    2.84
 2015 169    67    66    82.7    58.0    12.2    3.54    1.49     18.0    90.6     4.2     7.9    2.44    1.23     2.3    1.2    0.0   13.67    2.87
