*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2015 144    42    41   1683 19.3185  0.7462  7.4567  3.3695  1.9814 2.77678 13.570 27.457 26.306 22.820  0.0000  0.0000  0.0000
 2015 145    43    42   1772 20.2364  0.8932  8.5568  3.5603  2.2078 2.60700 13.840 27.914 26.730 23.658  3.7051  3.0000 64.3428
 2015 146    44    43   1874 20.2966  0.9908 11.5272  3.0015  2.1945 2.76943 14.316 28.580 26.453 23.244  3.6931  2.9986 64.4193
 2015 147    45    44   1965 19.0873  1.1152 10.7787  3.1894  2.1834 1.51438 14.372 28.524 26.532 23.290  3.6920  2.9986 64.4263
 2015 148    46    45   2047 17.3793  0.9987  9.2766  3.8307  1.6152 0.12999 14.017 27.901 24.782 19.436  3.6391  2.9113 64.8442
 2015 149    47    46   2123 16.3830  0.9650 10.1896  3.3145  1.4628 0.00000 13.845 27.371 24.034 18.242  3.6071  2.8285 65.1271
 2015 150    48    47   2200 17.3783  1.0300 10.9717  3.4954  1.7082 0.00000 13.724 26.833 25.605 19.400  3.5973  2.8204 65.1965
 2015 151    49    48   2280 18.0524  1.0950 11.1263  3.7047  1.9826 0.02174 13.578 26.251 27.170 20.725  3.5996  2.8397 65.1629
 2015 152    50    49   2345 14.9370  0.7720  9.7666  2.7839  1.7894 0.12834 13.629 25.987 26.350 20.424  3.5995  2.8482 65.1549
 2015 153    51    50   2421 18.4571  1.2297 11.6539  3.7301  2.2337 0.00000 13.512 25.334 26.412 22.244  3.6087  2.8700 65.0757
 2015 154    52    51   2494 17.4638  1.2140 11.2848  3.4542  2.0860 0.00000 13.385 24.675 25.524 21.563  3.6121  2.8818 65.0427
 2015 155    53    52   2566 17.5232  1.1889 11.2909  3.5158  1.9988 0.00000 13.247 24.012 24.884 20.855  3.6120  2.8858 65.0395
 2015 156    54    53   2637 17.0158  0.0000  9.6758  2.5244  1.9952 1.70131 14.051 25.496 24.883 20.854  3.6119  2.8892 65.0367
 2015 157    55    54   2707 16.6561  1.3089 10.9026  3.3111  2.0608 0.05052 13.895 24.782 25.486 21.287  3.6131  2.8945 65.0233
 2015 158    56    55   2778 16.2733  1.3080 11.0752  3.1582  2.0687 0.00000 13.718 24.023 25.461 21.400  3.6148  2.9002 65.0075
 2015 159    57    56   2846 15.6101  1.2648 10.6773  3.0433  1.9565 0.00000 13.529 23.265 25.437 20.791  3.6142  2.9012 65.0100
 2015 160    58    57   2929 15.4735  0.0000  8.9233  2.0478  1.9533 1.80632 14.403 24.967 25.621 20.770  3.6017  2.9266 65.0628
 2015 161    59    58   2985 12.9484  1.3594  9.4136  2.4260  1.7818 0.00000 14.188 24.140 24.986 20.617  3.6019  2.9241 65.0638
 2015 162    60    59   3049 15.0454  1.3594 10.3227  2.9528  2.0126 0.00000 13.967 23.286 25.885 21.516  3.6042  2.9261 65.0477
 2015 163    61    60   3120 14.1151  0.0000  8.6650  1.9554  1.9977 0.95772 14.647 24.285 25.626 21.877  3.6038  2.9355 65.0409
 2015 164    62    61   3186 14.1767  0.7591  9.4870  2.4558  1.9210 0.24149 14.758 24.072 26.036 21.221  3.6050  2.9355 65.0335
 2015 165    63    62   3246 13.7944  1.3944  9.6312  2.6731  1.8688 0.00000 14.490 23.149 26.021 21.000  3.6056  2.9347 65.0303
