*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!                                                                                                                              NO3 (ppm) at soil dep. (cm):                                            NH4 (ppm) at soil dep. (cm):                                            Total Inorganic N @dep(ppm):
!                                                                                                                              0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    
 2015 118    16    60     2   148.5    91.2    57.2    8.15   18.58    4.86    0.00    0.12    8.15    1.79   11.63    0.00    4.36     4.1     4.7    5.55    5.97    6.21    6.33    6.44    6.40   27.34    0.88    0.64    0.63    0.62    0.61    0.59    0.53    0.46   31.70    4.97    5.35    6.18    6.60    6.82    6.92    6.97    6.86
 2015 119    17    60     2   146.1    89.3    56.8    8.63   20.27    5.52    0.00    0.29    8.63    1.91   14.52    0.00    5.22     3.9     4.5    5.30    5.70    5.95    6.08    6.18    6.19   27.01    0.88    0.65    0.64    0.63    0.62    0.60    0.55    0.47   32.23    4.82    5.15    5.93    6.34    6.57    6.68    6.72    6.66
 2015 120    18    60     2   145.6    91.4    54.2    9.15   23.26    5.89    0.00    0.41    9.15    2.43   14.75    0.00    5.98     4.1     4.7    5.47    5.73    5.92    6.03    6.12    6.17   25.53    0.87    0.65    0.64    0.63    0.62    0.60    0.55    0.47   31.51    4.99    5.33    6.11    6.36    6.54    6.63    6.67    6.64
 2015 121    19    60     2   143.3    90.6    52.7    9.58   25.04    6.32    0.00    0.54    9.58    2.44   16.95    0.00    6.82     4.0     4.5    5.24    5.55    5.76    5.89    5.98    6.05   24.63    0.89    0.66    0.65    0.64    0.63    0.61    0.56    0.48   31.45    4.92    5.15    5.89    6.18    6.39    6.49    6.54    6.53
 2015 122    20    60     2   141.5    91.2    50.2   10.01   27.45    6.55    0.00    0.68   10.01    3.17   18.17    0.00    8.03     4.0     4.4    5.10    5.43    5.66    5.79    5.88    5.95   23.22    0.88    0.66    0.65    0.64    0.62    0.61    0.56    0.48   31.25    4.87    5.03    5.75    6.07    6.28    6.39    6.44    6.44
 2015 123    21    60     2   139.9    92.8    47.1   10.43   30.21    6.65    0.00    0.80   10.43    4.42   18.67    0.00    9.40     3.9     4.3    5.03    5.38    5.61    5.74    5.82    5.92   21.51    0.86    0.65    0.64    0.63    0.62    0.60    0.56    0.49   30.91    4.79    4.94    5.67    6.01    6.23    6.34    6.38    6.40
 2015 124    22    60     2   139.0    97.6    41.3   10.85   35.63    6.66    0.00    0.92   10.85    5.67   18.67    0.00   11.55     4.5     4.3    5.02    5.38    5.61    5.72    5.80    5.93   18.42    0.76    0.63    0.63    0.63    0.61    0.60    0.55    0.45   29.97    5.24    4.95    5.65    6.00    6.22    6.32    6.36    6.38
 2015 125    23    60     2   138.6    98.6    40.0   11.25   37.10    6.67    0.00    1.01   11.25    6.32   18.67    0.00   10.93     5.2     4.5    5.06    5.40    5.68    5.77    5.84    5.95   17.90    0.75    0.61    0.62    0.62    0.56    0.55    0.51    0.41   28.83    5.90    5.12    5.69    6.02    6.24    6.31    6.35    6.37
 2015 126    24    60     2   138.3   100.2    38.1   11.72   39.09    6.71    0.00    1.11   11.72    6.93   18.67    0.00    8.86     5.7     5.0    5.45    5.92    6.15    5.97    5.94    6.00   17.08    0.75    0.60    0.61    0.61    0.50    0.49    0.46    0.38   25.94    6.50    5.64    6.06    6.53    6.65    6.46    6.40    6.38
 2015 127    25    60     2   138.2   101.2    37.0   12.17   40.49    6.91    0.00    1.18   12.17    7.25   18.67    0.00    9.21     5.8     5.0    5.41    5.87    6.21    6.10    6.06    6.07   16.44    0.76    0.61    0.62    0.62    0.51    0.49    0.42    0.35   25.65    6.53    5.59    6.03    6.48    6.72    6.59    6.48    6.41
 2015 128    26    60     2   135.9   100.7    35.2   12.63   42.21    7.09    0.00    1.28   12.63    8.06   20.31    0.00    9.96     5.6     4.8    5.22    5.63    6.00    6.00    6.02    6.14   15.43    0.76    0.62    0.63    0.63    0.52    0.49    0.42    0.32   25.40    6.37    5.44    5.85    6.25    6.52    6.49    6.44    6.46
 2015 129    27    60     2   133.6   100.9    32.7   13.11   44.35    7.27    0.00    1.37   13.11    9.77   21.18    0.00   10.75     5.4     4.7    5.09    5.49    5.89    5.95    6.06    6.18   14.09    0.74    0.61    0.63    0.63    0.52    0.49    0.38    0.30   24.84    6.16    5.29    5.72    6.11    6.41    6.45    6.45    6.48
 2015 130    28    60     2   130.9   101.2    29.7   13.58   46.63    7.34    0.00    1.44   13.58   12.38   21.52    0.00   11.48     5.2     4.6    5.01    5.41    5.83    5.94    6.12    6.22   12.53    0.70    0.59    0.62    0.62    0.52    0.49    0.35    0.28   24.01    5.89    5.14    5.63    6.03    6.36    6.44    6.47    6.50
 2015 131    29    60     2   128.5   103.5    25.0   14.06   50.64    7.37    0.00    1.52   14.06   15.23   21.52    0.00    9.75     6.2     5.4    5.53    5.71    5.93    6.04    6.15    6.22   10.11    0.59    0.56    0.60    0.62    0.52    0.44    0.33    0.27   19.85    6.77    5.92    6.13    6.32    6.45    6.49    6.48    6.49
 2015 132    30    60     2   126.5   102.0    24.4   14.51   51.47    7.57    0.00    1.55   14.51   15.62   23.31    0.00    9.66     6.1     5.2    5.35    5.53    5.81    6.01    6.18    6.28    9.78    0.61    0.57    0.61    0.62    0.53    0.45    0.31    0.26   19.44    6.68    5.77    5.96    6.15    6.34    6.45    6.49    6.54
 2015 133    31    60     2   125.4   102.1    23.3   14.95   52.56    7.69    0.00    1.60   14.95   16.94   23.31    0.00    9.76     6.0     5.1    5.30    5.53    5.87    6.06    6.23    6.30    9.17    0.60    0.57    0.61    0.62    0.53    0.45    0.29    0.25   18.93    6.60    5.66    5.91    6.15    6.39    6.51    6.52    6.54
 2015 134    32    60     2   123.6   101.8    21.8   15.38   53.68    7.80    0.00    1.65   15.38   18.99   23.31    0.00    8.56     6.3     5.4    5.41    5.57    5.92    6.11    6.29    6.31    8.36    0.59    0.56    0.61    0.62    0.53    0.45    0.28    0.24   16.91    6.92    6.01    6.02    6.19    6.44    6.56    6.57    6.55
 2015 135    33    60     2   123.2   101.9    21.3   15.80   54.36    7.95    0.00    1.71   15.80   19.62   23.31    0.00    7.02     6.2     5.6    5.57    5.76    6.26    6.59    6.47    6.40    8.03    0.60    0.57    0.61    0.62    0.53    0.45    0.29    0.23   15.05    6.83    6.21    6.19    6.38    6.79    7.05    6.75    6.63
 2015 136    34    60     2   119.8    99.0    20.8   16.20   54.92    8.43    0.00    1.76   16.20   20.31   25.92    0.00    6.97     6.0     5.4    5.40    5.55    5.98    6.33    6.34    6.36    7.69    0.60    0.57    0.62    0.63    0.54    0.47    0.30    0.24   14.67    6.56    6.01    6.02    6.17    6.52    6.79    6.64    6.60
 2015 137    35    60     2   116.3    96.6    19.7   16.62   55.76    8.73    0.00    1.81   16.62   22.28   27.55    0.00    6.96     5.6     5.2    5.25    5.40    5.81    6.15    6.26    6.36    7.05    0.58    0.57    0.62    0.63    0.55    0.48    0.31    0.24   14.01    6.22    5.77    5.87    6.03    6.36    6.63    6.57    6.59
 2015 138    36    60     2   112.2    94.3    17.9   17.07   56.78    8.87    0.00    1.87   17.07   25.82   28.33    0.00    6.92     5.2     4.9    5.10    5.30    5.70    6.04    6.22    6.37    6.10    0.54    0.54    0.61    0.63    0.55    0.48    0.32    0.23   13.02    5.76    5.46    5.71    5.93    6.25    6.52    6.54    6.60
 2015 139    37   100     3   143.3    93.3    50.0   17.53   58.59    8.94    0.00    5.12   17.53   30.33   28.33    0.00    6.84     5.1     4.7    4.98    5.25    5.68    6.04    6.25    6.40   24.49    0.46    0.50    0.58    0.62    0.55    0.48    0.33    0.22   31.33    5.56    5.19    5.57    5.87    6.24    6.52    6.58    6.63
