*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                   0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2015 121    19    18    3.8      0  0.386    115     35      0     42    149    149      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.55   0.00   0.00      0      0  336.4   0.15   0.13    6.1   0.50    0.14    0.13    0.08    0.03    0.01    0.00    0.00    0.00    0.00        6       8
 2015 122    20    19    4.0      0  0.435    132     40      0     48    172    172      0     0.0  0.000      0      0  0.000  0.175  0.000  0.000  0.000  0.000  0.000    3.76   0.00   0.00      0      0  328.9   0.16   0.14    6.0   0.50    0.16    0.14    0.09    0.03    0.01    0.00    0.00    0.00    0.00        6       9
 2015 123    21    20    4.2      0  0.473    147     45      0     58    192    192      0     0.0  0.000      0      0  0.000  0.302  0.000  0.000  0.000  0.000  0.000    3.81   0.00   0.00      0      0  320.8   0.17   0.15    6.0   0.50    0.20    0.17    0.11    0.04    0.01    0.00    0.00    0.00    0.00        6      10
 2015 124    22    21    4.5      0  0.566    169     51      0     60    220    220      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.77   0.00   0.00      0      0  335.6   0.17   0.16    6.2   0.50    0.20    0.17    0.12    0.04    0.01    0.00    0.00    0.00    0.00        7      11
 2015 125    23    22    4.7      0  0.691    201     61      0     62    261    261      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.54   0.00   0.00      0      0  344.3   0.18   0.17    7.2   0.50    0.21    0.17    0.12    0.05    0.01    0.00    0.00    0.00    0.00        9      12
 2015 126    24    23    5.0      0  0.801    226     68      0     68    295    295      0     0.0  0.000      0      0  0.000  0.000  0.126  0.000  0.000  0.000  0.000    3.35   0.00   0.00      0      0  354.1   0.20   0.19    8.4   0.50    0.23    0.19    0.13    0.05    0.01    0.00    0.00    0.00    0.00       11      13
 2015 127    25    24    5.2      0  0.929    262     88      0     74    350    350      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.22   0.00   0.00      0      0  355.2   0.21   0.21    9.9   0.50    0.24    0.20    0.14    0.06    0.02    0.00    0.00    0.00    0.00       13      15
 2015 128    26    25    5.5      0  1.074    297    109      0     79    406    406      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.27   0.00   0.00      0      0  361.1   0.23   0.23   10.2   0.50    0.26    0.22    0.15    0.06    0.02    0.00    0.00    0.00    0.00       15      16
 2015 129    27    26    5.8      0  1.228    336    130      0     84    466    466      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.43   0.00   0.00      0      0  365.1   0.25   0.25   10.4   0.50    0.28    0.23    0.16    0.07    0.02    0.00    0.00    0.00    0.00       15      18
 2015 130    28    27    5.9      0  1.282    359    142      0    112    500    500      0     0.0  0.000      0      0  0.147  0.432  0.000  0.000  0.000  0.000  0.000    3.62   0.00   0.00      0      0  357.1   0.26   0.26   10.5   0.50    0.36    0.30    0.21    0.09    0.03    0.00    0.00    0.00    0.00       15      19
 2015 131    29    28    6.1      1  1.362    370    152      0    114    522    522      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.036    3.64   0.00   0.00      0      0  368.0   0.28   0.27   12.2   0.50    0.37    0.30    0.22    0.10    0.03    0.00    0.00    0.00    0.00       33      22
 2015 132    30    29    6.4      1  1.476    398    175      0    119    574    574      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.65   0.00   0.00      0      0  370.6   0.30   0.28   12.7   0.50    0.39    0.31    0.23    0.10    0.03    0.00    0.00    0.00    0.00       43      23
 2015 133    31    30    6.6      1  1.567    429    205      0    125    634    634      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.68   0.00   0.00      0      0  365.0   0.32   0.30   13.2   0.50    0.40    0.33    0.24    0.11    0.03    0.00    0.00    0.00    0.00       56      25
 2015 134    32    31    6.8      1  1.575    447    235      0    144    682    682      0     0.0  0.000      0      0  0.000  0.000  0.158  0.000  0.000  0.000  0.000    3.57   0.00   0.00      0      0  352.4   0.34   0.31   15.4   0.50    0.47    0.38    0.28    0.13    0.04    0.00    0.00    0.00    0.00       85      28
 2015 135    33    32    7.1      1  1.645    485    277      0    156    762    762      0     0.0  0.000      0      0  0.000  0.000  0.058  0.000  0.000  0.000  0.000    3.44   0.00   0.00      0      0  339.2   0.36   0.33   18.0   0.50    0.50    0.41    0.30    0.14    0.04    0.00    0.00    0.00    0.00       89      30
 2015 136    34    33    7.3      1  1.667    508    314      0    161    823    823      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.48   0.00   0.00      0      0  327.9   0.38   0.34   18.6   0.50    0.52    0.42    0.31    0.14    0.05    0.00    0.00    0.00    0.00      106      33
 2015 137    35    34    7.5      1  1.685    538    363      0    168    901    901      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.62   0.00   0.00      0      0  313.1   0.40   0.36   18.9   0.50    0.54    0.44    0.32    0.15    0.05    0.00    0.00    0.00    0.00      123      36
