*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 188    63   0.110    0.01     363    0.02
 2015 189    64   0.112    0.01     370    0.14
 2015 190    65   0.113    0.01     376    0.13
 2015 191    66   0.116    0.01     384    0.12
 2015 192    67   0.118    0.01     392    0.11
 2015 193    68   0.120    0.01     400    0.10
 2015 194    69   0.122    0.01     407    0.09
 2015 195    70   0.154    0.02     523    0.08
 2015 196    71   0.177    0.03     609    0.09
 2015 197    72   0.194    0.03     673    0.09
 2015 198    73   0.206    0.04     720    0.09
 2015 199    74   0.215    0.04     755    0.08
 2015 200    75   0.221    0.04     780    0.08
 2015 201    76   0.226    0.05     799    0.07
 2015 202    77   0.229    0.05     813    0.06

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 147     0   0.000    0.00       0    0.00
 2015 148     1   0.000    0.00       0    0.00
 2015 149     2   0.000    0.00       0    0.00
 2015 150     3   0.000    0.00       0    0.00
 2015 151     4   0.000    0.00       0    0.00
 2015 152     5   0.000    0.00       0    0.00
 2015 153     6   0.000    0.00       0    0.00
 2015 154     7   0.000    0.00       0    0.00
 2015 155     8   0.000    0.00       0    0.00
 2015 156     9   0.000    0.00       0    0.00
 2015 157    10   0.000    0.00       0    0.00
 2015 158    11   0.000    0.00       0    0.00
 2015 159    12   0.000    0.00       0    0.00
 2015 160    13   0.000    0.00       0    0.00
 2015 161    14   0.000    0.00       0    0.00
 2015 162    15   0.000    0.00       0    0.00
 2015 163    16   0.000    0.00       0    0.00
 2015 164    17   0.000    0.00       0    0.00
 2015 165    18   0.000    0.00       1    0.00
 2015 166    19   0.000    0.00       1    0.00
 2015 167    20   0.000    0.00       1    0.00
 2015 168    21   0.000    0.00       1    0.00
 2015 169    22   0.001    0.00       4    0.00
 2015 170    23   0.003    0.00      10    0.00
 2015 171    24   0.003    0.00      10    0.00
 2015 172    25   0.003    0.00      10    0.00
 2015 173    26   0.003    0.00      10    0.00
 2015 174    27   0.004    0.00      11    0.00
 2015 175    28   0.004    0.00      12    0.00
 2015 176    29   0.008    0.00      26    0.00
 2015 177    30   0.014    0.00      44    0.00
 2015 178    31   0.017    0.00      54    0.01
 2015 179    32   0.017    0.00      54    0.01
 2015 180    33   0.017    0.00      54    0.01
 2015 181    34   0.017    0.00      54    0.01
 2015 182    35   0.018    0.00      57    0.01
 2015 183    36   0.019    0.00      60    0.01
 2015 184    37   0.022    0.00      69    0.01
 2015 185    38   0.030    0.00      94    0.01
 2015 186    39   0.033    0.00     106    0.02
 2015 187    40   0.039    0.00     125    0.02
 2015 188    41   0.045    0.00     144    0.02
 2015 189    42   0.051    0.00     162    0.05
 2015 190    43   0.053    0.00     170    0.06
