simulacao,run,EUCLIDIANA_GERAL,EUCLIDIANA_ADAP,EUCLIDIANA_PD1P,EUCLIDIANA_PDFP,EUCLIDIANA_MDAP,EUCLIDIANA_HWAM,EUCLIDIANA_PWAM,EUCLIDIANA_HWUM,EUCLIDIANA_H#AM,EUCLIDIANA_H#UM,EUCLIDIANA_THAM,EUCLIDIANA_LAIX,EUCLIDIANA_HIAM
IP100_IT100_ei_exp,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_ei_exp,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_ei_exp,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_ei_exp,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_ei_exp,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_ei_gauss,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_ei_gauss,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_ei_gauss,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_ei_gauss,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_ei_gauss,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_ei_matern3_2,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_ei_matern3_2,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_ei_matern3_2,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_ei_matern3_2,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_ei_matern3_2,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_ei_matern5_2,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_ei_matern5_2,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_ei_matern5_2,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_ei_matern5_2,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_ei_matern5_2,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_poi_exp,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_poi_exp,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_poi_exp,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_poi_exp,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_poi_exp,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_poi_gauss,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_poi_gauss,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_poi_gauss,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_poi_gauss,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_poi_gauss,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_poi_matern3_2,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_poi_matern3_2,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_poi_matern3_2,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_poi_matern3_2,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_poi_matern3_2,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_poi_matern5_2,1,0.7300653106488861,0.047619047619047616,0.0625,0.04838709677419355,0.13414634146341464,0.4767150726089134,0.2884023263770099,0.23882352941176468,0.11287758346581876,0.09963768115942026,0.07702888583218699,0.3322683706070288,0.0032258064516129063
IP100_IT100_poi_matern5_2,2,0.6442652828594304,0.04081632653061224,0.03636363636363636,0.10294117647058823,0.044444444444444446,0.17623974313235818,0.36852394916911047,0.013157894736842117,0.17121918720852763,0.09955752212389385,0.055241935483870956,0.43217665615141954,0.05846153846153851
IP100_IT100_poi_matern5_2,3,1.0694215537843694,0.17647058823529413,0.12962962962962962,0.19117647058823528,0.0,0.06010518407212622,0.03463035019455253,0.08473684210526318,0.09877800407331976,0.0020161290322580215,0.025515463917525644,0.1587301587301588,1.0057676767676766
IP100_IT100_poi_matern5_2,4,1.2391722282989026,0.21818181818181817,0.26865671641791045,0.24324324324324326,0.01098901098901099,0.18847926267281107,0.1703994027622247,0.16842105263157894,0.4976243268926196,0.0040404040404039545,0.05781041388518021,0.038000000000000075,1.0055454545454545
IP100_IT100_poi_matern5_2,5,0.8039898350620305,0.0851063829787234,0.125,0.1076923076923077,0.10465116279069768,0.5817307692307693,0.09298660362490149,0.39411764705882335,0.2059079061685491,0.07343412526997838,0.10125348189415037,0.09368191721132892,0.1782608695652174
IP100_IT100_ucb_exp,1,0.5200755683942173,0.14285714285714285,0.041666666666666664,0.06451612903225806,0.17073170731707318,0.05107661492238358,0.0379746835443038,0.11411764705882352,0.10810810810810811,0.09420289855072457,0.048418156808803244,0.268370607028754,0.3209677419354839
IP100_IT100_ucb_exp,2,0.5968051668372779,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.07777777777777778,0.14627185158758474,0.37145650048875856,0.00789473684210527,0.11792138574283811,0.10619469026548684,0.026209677419354684,0.36119873817034703,0.18
IP100_IT100_ucb_exp,3,1.0290709727916938,0.11764705882352941,0.12962962962962962,0.10294117647058823,0.03333333333333333,0.049085900325569747,0.02159533073929961,0.03263157894736848,0.014256619144602852,0.006048387096774244,0.02706185567010302,0.03703703703703703,1.0051616161616161
IP100_IT100_ucb_exp,4,1.217710547823623,0.16363636363636364,0.26865671641791045,0.16216216216216217,0.01098901098901099,0.21451612903225806,0.1858902575587906,0.12315789473684212,0.4938232499208109,0.010101010101010065,0.043391188251001335,0.07599999999999998,1.0050303030303032
IP100_IT100_ucb_exp,5,0.6651882299148143,0.02127659574468085,0.125,0.0,0.12790697674418605,0.4548076923076923,0.048332019963225635,0.24647058823529405,0.24066029539530842,0.07991360691144711,0.05598885793871861,0.0,0.2695652173913043
IP100_IT100_ucb_gauss,1,0.5595212875499753,0.14285714285714285,0.14583333333333334,0.06451612903225806,0.024390243902439025,0.23485227841762643,0.20561067396510435,0.07352941176470594,0.24483306836248012,0.09420289855072457,0.037414030261347986,0.19329073482428116,0.2370967741935484
IP100_IT100_ucb_gauss,2,0.5177431055017743,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.06666666666666667,0.06921155904388156,0.30856956663408275,0.07000000000000003,0.13057961359093936,0.10619469026548684,0.0032258064516128343,0.32649842271293383,0.14769230769230765
IP100_IT100_ucb_gauss,3,1.090972448027269,0.11764705882352941,0.05555555555555555,0.10294117647058823,0.13333333333333333,0.24868519909842224,0.21284046692607003,0.05526315789473689,0.14918533604887985,0.008064516129032265,0.044458762886597794,0.019400352733686125,1.005010101010101
IP100_IT100_ucb_gauss,4,1.2209639023935286,0.16363636363636364,0.22388059701492538,0.16216216216216217,0.13186813186813187,0.31474654377880185,0.22769690182904068,0.151578947368421,0.4155844155844156,0.010101010101010065,0.0405874499332444,0.10999999999999996,1.0048484848484849
IP100_IT100_ucb_gauss,5,0.5830125651488651,0.02127659574468085,0.05357142857142857,0.0,0.023255813953488372,0.3389423076923077,0.03152088258471237,0.05176470588235279,0.3536055603822763,0.07991360691144711,0.01225626740947069,0.052287581699346455,0.28840579710144926
IP100_IT100_ucb_matern3_2,1,0.5070181390846102,0.14285714285714285,0.041666666666666664,0.06451612903225806,0.1951219512195122,0.04757135703555333,0.034553540882654804,0.1111764705882353,0.10095389507154214,0.09420289855072457,0.048418156808803244,0.2172523961661341,0.32903225806451614
IP100_IT100_ucb_matern3_2,2,0.6419624864372148,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.1111111111111111,0.20085622547270782,0.42717497556207235,0.036842105263157926,0.13857428381079281,0.10619469026548684,0.03306451612903217,0.3328075709779179,0.1769230769230769
IP100_IT100_ucb_matern3_2,3,1.032396876176153,0.11764705882352941,0.12962962962962962,0.10294117647058823,0.06666666666666667,0.02053593789130979,0.0377431906614786,0.08473684210526318,0.006619144602851324,0.0020161290322580215,0.01546391752577305,0.017636684303350907,1.0052525252525253
IP100_IT100_ucb_matern3_2,4,1.2089018270002816,0.16363636363636364,0.26865671641791045,0.16216216216216217,0.04395604395604396,0.20806451612903226,0.17525195968645016,0.10105263157894734,0.47956921127652835,0.010101010101010065,0.038317757009345664,0.092,1.0050000000000001
IP100_IT100_ucb_matern3_2,5,0.6466802853970405,0.02127659574468085,0.125,0.0,0.1511627906976744,0.41971153846153847,0.0338849487785658,0.18235294117647058,0.27628149435273675,0.07991360691144711,0.0448467966573816,0.028322440087145948,0.28840579710144926
IP100_IT100_ucb_matern5_2,1,0.5490685160126105,0.14285714285714285,0.041666666666666664,0.06451612903225806,0.13414634146341464,0.08212318477716575,0.09750256585699624,0.18823529411764706,0.24483306836248012,0.09420289855072457,0.07345254470426414,0.1741214057507987,0.317741935483871
IP100_IT100_ucb_matern5_2,2,0.5998158611249934,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.03333333333333333,0.13735283624687836,0.396871945259042,0.06631578947368422,0.1972018654230513,0.10619469026548684,0.0005376344086022346,0.2949526813880126,0.19692307692307692
IP100_IT100_ucb_matern5_2,3,1.030139115386276,0.11764705882352941,0.12962962962962962,0.10294117647058823,0.011111111111111112,0.06836964688204357,0.044941634241245136,0.0005263157894736262,0.003564154786150713,0.006048387096774244,0.023324742268041085,0.045855379188712485,1.0052020202020202
IP100_IT100_ucb_matern5_2,4,1.1821751120921224,0.16363636363636364,0.26865671641791045,0.16216216216216217,0.02197802197802198,0.16497695852534563,0.12541993281075028,0.06315789473684216,0.4317389927146025,0.010101010101010065,0.032576769025367124,0.16400000000000006,1.0051919191919192
IP100_IT100_ucb_matern5_2,5,0.6515438333135235,0.02127659574468085,0.125,0.0,0.08139534883720931,0.41057692307692306,0.05200945626477541,0.11764705882352934,0.34144222415291053,0.07991360691144711,0.02047353760445681,0.08714596949891075,0.29275362318840575
IP100_IT300_ei_exp,1,0.4903158141804227,0.14285714285714285,0.041666666666666664,0.06451612903225806,0.12195121951219512,0.05758637956935403,0.052685596989394456,0.1270588235294118,0.13116057233704292,0.09420289855072457,0.055570839064649324,0.17891373801916935,0.3403225806451613
IP100_IT300_ei_exp,2,0.5593165581078814,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.03333333333333333,0.10738494470210488,0.35027696318018897,0.04421052631578942,0.13857428381079281,0.10619469026548684,0.006586021505376275,0.2996845425867507,0.23076923076923078
IP100_IT300_ei_exp,3,1.0475058486051225,0.11764705882352941,0.12962962962962962,0.10294117647058823,0.022222222222222223,0.15301778111695466,0.11653696498054475,0.021578947368421014,0.07331975560081466,0.004032258064516223,0.04020618556701019,0.03880070546737209,1.0047676767676768
IP100_IT300_ei_exp,4,1.236819415105685,0.16363636363636364,0.26865671641791045,0.16216216216216217,0.03296703296703297,0.223963133640553,0.19802164986935425,0.14105263157894732,0.5077605321507761,0.010101010101010065,0.04646194926568745,0.15600000000000006,1.0048383838383839
IP100_IT300_ei_exp,5,0.6155955168144277,0.02127659574468085,0.125,0.0,0.06976744186046512,0.36875,0.015497767270816917,0.11352941176470578,0.30668983492615115,0.07991360691144711,0.025766016713092043,0.08932461873638348,0.3159420289855072
IP100_IT300_ei_gauss,1,0.5198566169557417,0.14285714285714285,0.041666666666666664,0.06451612903225806,0.14634146341463414,0.02754131196795193,0.04310639753677729,0.18823529411764706,0.1820349761526232,0.09420289855072457,0.07427785419532332,0.1453674121405751,0.3403225806451613
IP100_IT300_ei_gauss,2,0.567414126969643,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.05555555555555555,0.14520156974669995,0.386119257086999,0.03263157894736848,0.1632245169886742,0.10619469026548684,0.014247311827956828,0.26340694006309145,0.19538461538461538
IP100_IT300_ei_gauss,3,1.0303747921738011,0.11764705882352941,0.12962962962962962,0.10294117647058823,0.011111111111111112,0.0608564988730278,0.023540856031128404,0.017368421052631564,0.02240325865580448,0.008064516129032265,0.037113402061855615,0.059964726631393274,1.005090909090909
IP100_IT300_ei_gauss,4,1.193899539032568,0.16363636363636364,0.26865671641791045,0.16216216216216217,0.0,0.18847926267281107,0.14650989175065324,0.056315789473684146,0.4440924928729807,0.010101010101010065,0.028170894526034704,0.17799999999999994,1.005080808080808
IP100_IT300_ei_gauss,5,0.6423821038432803,0.02127659574468085,0.125,0.0,0.10465116279069768,0.38461538461538464,0.03546099290780142,0.09294117647058811,0.3466550825369244,0.07991360691144711,0.017548746518105923,0.09586056644880184,0.30289855072463767
IP100_IT300_ei_matern3_2,1,0.6496565105784786,0.14285714285714285,0.14583333333333334,0.06451612903225806,0.08536585365853659,0.3385077616424637,0.2514539856312008,0.04764705882352955,0.3124006359300477,0.09420289855072457,0.005089408528197941,0.2651757188498403,0.10967741935483863
IP100_IT300_ei_matern3_2,2,0.6014591651799522,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.011111111111111112,0.16553692472351053,0.39231019876181167,0.03578947368421053,0.18854097268487674,0.10619469026548684,0.02768817204301059,0.3564668769716088,0.04923076923076927
IP100_IT300_ei_matern3_2,3,1.0289008578402792,0.11764705882352941,0.05555555555555555,0.10294117647058823,0.06666666666666667,0.0643626346105685,0.06614785992217899,0.03368421052631573,0.031568228105906315,0.008064516129032265,0.0029639175257732474,0.06349206349206354,1.005939393939394
IP100_IT300_ei_matern3_2,4,1.1274742621555411,0.16363636363636364,0.22388059701492538,0.16216216216216217,0.06593406593406594,0.14516129032258066,0.08342665173572228,0.06052631578947374,0.34178017104846375,0.010101010101010065,0.008411214953270966,0.05800000000000001,1.0057878787878787
IP100_IT300_ei_matern3_2,5,0.7339344228390041,0.02127659574468085,0.05357142857142857,0.0,0.046511627906976744,0.541826923076923,0.12004202784344628,0.16999999999999987,0.40139009556907035,0.07991360691144711,0.047632311977715905,0.013071895424836517,0.16231884057971013
IP100_IT300_ei_matern5_2,1,0.47835238119374773,0.14285714285714285,0.041666666666666664,0.06451612903225806,0.0975609756097561,0.013019529293940912,0.010605542251111872,0.12647058823529422,0.08267090620031796,0.11594202898550719,0.0579092159559836,0.16134185303514373,0.35645161290322575
IP100_IT300_ei_matern5_2,2,0.471626950337724,0.02040816326530612,0.03636363636363636,0.014705882352941176,0.0,0.031038173385658223,0.20560443141088303,0.0957894736842105,0.05396402398401066,0.09292035398230107,0.013306451612903347,0.279179810725552,0.27999999999999997
IP100_IT300_ei_matern5_2,3,1.0957799214323851,0.11764705882352941,0.12962962962962962,0.10294117647058823,0.05555555555555555,0.2531930879038317,0.21848249027237354,0.0352631578947369,0.17158859470468432,0.0020161290322580215,0.04329896907216495,0.054673721340388094,1.0044949494949493
IP100_IT300_ei_matern5_2,4,1.2622238570858457,0.16363636363636364,0.26865671641791045,0.16216216216216217,0.054945054945054944,0.271889400921659,0.24337439343038447,0.11526315789473686,0.5277161862527716,0.010101010101010065,0.040720961281708906,0.16999999999999993,1.0046666666666666
IP100_IT300_ei_matern5_2,5,0.543166390643464,0.02127659574468085,0.125,0.0,0.046511627906976744,0.26153846153846155,0.05227213028631468,0.06294117647058815,0.26151172893136404,0.07991360691144711,0.012813370473537629,0.09368191721132892,0.3434782608695651
