RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,simulacao
1,EMEP1403BN,1,1,BN,46,35,53,42,60,56,83,72,2764,1605,3575,2313,1417,1090,0.1950,0.15,5.00,5.49,4759,3202,2000,-99,5.05,4.18,0.581,0.50,77.31,70.4,99,-99,129,-99,13,-99,3.57,-99,1877,1409,62,-99,13.88,-99,2.83,-99,1.23,-99,92,-99,4,-99,-99,teste_IP100_IT300_ucb_exp_teste,IP100_IT300_ucb_exp
2,EMEP1403BN,2,1,BN,48,42,55,48,63,62,87,82,2806,1997,3571,2923,1379,1258,0.2036,0.17,5.00,5.52,4834,3204,2030,-99,4.87,6.26,0.580,0.62,78.58,72.7,99,-99,128,-99,13,-99,3.52,-99,1706,1349,55,-99,13.57,-99,3.11,-99,1.20,-99,96,-99,4,-99,-99,teste_IP100_IT300_ucb_exp_teste,IP100_IT300_ucb_exp
3,EMEP1403BN,8,1,BN,44,41,50,51,57,57,83,84,2768,2630,3499,-99,1338,1215,0.2068,0.21,5.00,4.94,5085,3092,2320,-99,4.87,6.14,0.544,-99,79.11,72.3,97,-99,127,-99,15,-99,3.50,-99,1728,2069,57,-99,14.29,-99,2.86,-99,1.39,-99,92,-99,4,-99,-99,teste_IP100_IT300_ucb_exp_teste,IP100_IT300_ucb_exp
1,EMEP1403BN,1,1,BN,46,35,53,42,60,56,90,72,2544,1605,3419,2313,1428,1090,0.1781,0.15,5.00,5.49,4662,3202,2120,-99,4.95,4.18,0.546,0.50,74.42,70.4,90,-99,123,-99,14,-99,3.54,-99,1831,1409,60,-99,13.89,-99,2.86,-99,1.22,-99,99,-99,4,-99,-99,teste_IP100_IT300_ucb_gauss_teste,IP100_IT300_ucb_gauss
2,EMEP1403BN,2,1,BN,48,42,55,48,63,62,92,82,2789,1997,3671,2923,1420,1258,0.1963,0.17,5.00,5.52,4931,3204,2140,-99,4.80,6.26,0.566,0.62,75.97,72.7,98,-99,129,-99,13,-99,3.52,-99,1677,1349,54,-99,13.59,-99,3.14,-99,1.19,-99,101,-99,4,-99,-99,teste_IP100_IT300_ucb_gauss_teste,IP100_IT300_ucb_gauss
3,EMEP1403BN,8,1,BN,44,41,50,51,57,57,91,84,3102,2630,3931,-99,1358,1215,0.2284,0.21,5.00,4.94,5351,3092,2250,-99,4.78,6.14,0.580,-99,78.91,72.3,107,-99,137,-99,15,-99,3.46,-99,1694,2069,56,-99,14.31,-99,2.93,-99,1.39,-99,100,-99,4,-99,-99,teste_IP100_IT300_ucb_gauss_teste,IP100_IT300_ucb_gauss
1,EMEP1403BN,1,1,BN,46,35,53,42,58,56,90,72,2663,1605,3444,2313,1355,1090,0.1966,0.15,5.00,5.49,4748,3202,2090,-99,4.98,4.18,0.561,0.50,77.32,70.4,94,-99,126,-99,15,-99,3.55,-99,1953,1409,64,-99,13.89,-99,2.87,-99,1.24,-99,99,-99,4,-99,-99,teste_IP100_IT300_ucb_matern3_2_teste,IP100_IT300_ucb_matern3_2
2,EMEP1403BN,2,1,BN,48,42,55,48,61,62,93,82,2908,1997,3748,2923,1403,1258,0.2072,0.17,5.00,5.52,5034,3204,2130,-99,4.65,6.26,0.578,0.62,77.57,72.7,103,-99,133,-99,13,-99,3.54,-99,1757,1349,56,-99,13.54,-99,3.09,-99,1.19,-99,102,-99,4,-99,-99,teste_IP100_IT300_ucb_matern3_2_teste,IP100_IT300_ucb_matern3_2
3,EMEP1403BN,8,1,BN,44,41,50,51,56,57,92,84,2871,2630,3626,-99,1288,1215,0.2229,0.21,5.00,4.94,5342,3092,2470,-99,4.80,6.14,0.537,-99,79.16,72.3,100,-99,133,-99,18,-99,3.50,-99,1814,2069,60,-99,14.26,-99,2.86,-99,1.39,-99,101,-99,4,-99,-99,teste_IP100_IT300_ucb_matern3_2_teste,IP100_IT300_ucb_matern3_2
1,EMEP1403BN,1,1,BN,46,35,53,42,60,56,86,72,2636,1605,3524,2313,1451,1090,0.1816,0.15,5.00,5.49,4841,3202,2210,-99,5.17,4.18,0.544,0.50,74.79,70.4,93,-99,128,-99,15,-99,3.54,-99,1962,1409,65,-99,13.90,-99,2.86,-99,1.25,-99,95,-99,4,-99,-99,teste_IP100_IT300_ucb_matern5_2_teste,IP100_IT300_ucb_matern5_2
2,EMEP1403BN,2,1,BN,48,42,55,48,63,62,89,82,2888,1997,3788,2923,1426,1258,0.2024,0.17,5.00,5.52,5106,3204,2220,-99,4.95,6.26,0.566,0.62,76.22,72.7,102,-99,134,-99,14,-99,3.52,-99,1772,1349,57,-99,13.54,-99,3.14,-99,1.20,-99,98,-99,4,-99,-99,teste_IP100_IT300_ucb_matern5_2_teste,IP100_IT300_ucb_matern5_2
3,EMEP1403BN,8,1,BN,44,41,50,51,57,57,86,84,3138,2630,3969,-99,1369,1215,0.2292,0.21,5.00,4.94,5504,3092,2370,-99,5.04,6.14,0.570,-99,79.05,72.3,109,-99,140,-99,15,-99,3.47,-99,1827,2069,61,-99,14.25,-99,2.92,-99,1.40,-99,95,-99,4,-99,-99,teste_IP100_IT300_ucb_matern5_2_teste,IP100_IT300_ucb_matern5_2
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,91,72,1702,1605,2696,2313,1463,1090,0.1163,0.15,5.00,5.49,4441,3202,2740,-99,5.35,4.18,0.383,0.50,63.15,70.4,61,-99,110,-99,24,-99,3.57,-99,1809,1409,60,-99,13.89,-99,2.78,-99,1.23,-99,100,-99,4,-99,-99,teste_IP200_IT300_ei_exp_teste,IP200_IT300_ei_exp
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,94,82,1997,1997,3073,2923,1618,1258,0.1234,0.17,5.00,5.52,4952,3204,2960,-99,5.14,6.26,0.403,0.62,64.96,72.7,72,-99,123,-99,23,-99,3.61,-99,1663,1349,53,-99,13.60,-99,3.00,-99,1.20,-99,103,-99,4,-99,-99,teste_IP200_IT300_ei_exp_teste,IP200_IT300_ei_exp
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,93,84,2883,2630,3905,-99,1453,1215,0.1984,0.21,5.00,4.94,5649,3092,2770,-99,5.07,6.14,0.510,-99,73.83,72.3,99,-99,140,-99,19,-99,3.42,-99,1673,2069,55,-99,14.31,-99,2.97,-99,1.40,-99,102,-99,4,-99,-99,teste_IP200_IT300_ei_exp_teste,IP200_IT300_ei_exp
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,88,72,2500,1605,3550,2313,1751,1090,0.1427,0.15,5.00,5.49,4716,3202,2220,-99,4.84,4.18,0.530,0.50,70.43,70.4,89,-99,125,-99,14,-99,3.55,-99,1953,1409,64,-99,13.90,-99,2.83,-99,1.23,-99,97,-99,4,-99,-99,teste_IP200_IT300_ei_gauss_teste,IP200_IT300_ei_gauss
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,90,82,2742,1997,3739,2923,1623,1258,0.1690,0.17,5.00,5.52,4926,3204,2180,-99,4.51,6.26,0.557,0.62,73.35,72.7,97,-99,129,-99,12,-99,3.52,-99,1765,1349,57,-99,13.55,-99,3.13,-99,1.18,-99,99,-99,4,-99,-99,teste_IP200_IT300_ei_gauss_teste,IP200_IT300_ei_gauss
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,88,84,3207,2630,4212,-99,1630,1215,0.1968,0.21,5.00,4.94,5457,3092,2250,-99,4.65,6.14,0.588,-99,76.14,72.3,109,-99,139,-99,12,-99,3.40,-99,1814,2069,60,-99,14.26,-99,3.04,-99,1.38,-99,97,-99,4,-99,-99,teste_IP200_IT300_ei_gauss_teste,IP200_IT300_ei_gauss
1,EMEP1403BN,1,1,BN,46,35,49,42,63,56,87,72,2018,1605,3002,2313,1449,1090,0.1393,0.15,5.00,5.49,4648,3202,2630,-99,4.88,4.18,0.434,0.50,67.23,70.4,71,-99,117,-99,21,-99,3.54,-99,1948,1409,64,-99,13.89,-99,2.82,-99,1.23,-99,96,-99,4,-99,-99,teste_IP200_IT300_ei_matern3_2_teste,IP200_IT300_ei_matern3_2
2,EMEP1403BN,2,1,BN,48,42,50,48,66,62,90,82,2396,1997,3370,2923,1465,1258,0.1636,0.17,5.00,5.52,5073,3204,2680,-99,4.52,6.26,0.472,0.62,71.10,72.7,86,-99,128,-99,19,-99,3.60,-99,1756,1349,56,-99,13.55,-99,3.02,-99,1.18,-99,99,-99,4,-99,-99,teste_IP200_IT300_ei_matern3_2_teste,IP200_IT300_ei_matern3_2
3,EMEP1403BN,8,1,BN,44,41,47,51,60,57,87,84,3039,2630,3996,-99,1440,1215,0.2110,0.21,5.00,4.94,5630,3092,2590,-99,4.67,6.14,0.540,-99,76.04,72.3,103,-99,138,-99,16,-99,3.40,-99,1809,2069,60,-99,14.26,-99,3.03,-99,1.39,-99,96,-99,4,-99,-99,teste_IP200_IT300_ei_matern3_2_teste,IP200_IT300_ei_matern3_2
1,EMEP1403BN,1,1,BN,46,35,50,42,63,56,85,72,1949,1605,2883,2313,1370,1090,0.1423,0.15,5.00,5.49,4714,3202,2770,-99,5.58,4.18,0.413,0.50,67.59,70.4,69,-99,117,-99,23,-99,3.55,-99,1955,1409,64,-99,13.90,-99,2.81,-99,1.26,-99,94,-99,4,-99,-99,teste_IP200_IT300_ei_matern5_2_teste,IP200_IT300_ei_matern5_2
2,EMEP1403BN,2,1,BN,48,42,52,48,66,62,89,82,2349,1997,3324,2923,1480,1258,0.1587,0.17,5.00,5.52,5181,3204,2830,-99,5.31,6.26,0.453,0.62,70.65,72.7,85,-99,130,-99,21,-99,3.61,-99,1762,1349,57,-99,13.55,-99,2.99,-99,1.21,-99,98,-99,4,-99,-99,teste_IP200_IT300_ei_matern5_2_teste,IP200_IT300_ei_matern5_2
3,EMEP1403BN,8,1,BN,44,41,48,51,60,57,85,84,2909,2630,3831,-99,1362,1215,0.2136,0.21,5.00,4.94,5694,3092,2780,-99,5.41,6.14,0.511,-99,75.93,72.3,99,-99,137,-99,19,-99,3.39,-99,1817,2069,60,-99,14.26,-99,3.03,-99,1.42,-99,94,-99,4,-99,-99,teste_IP200_IT300_ei_matern5_2_teste,IP200_IT300_ei_matern5_2
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,85,72,2523,1605,3588,2313,1773,1090,0.1423,0.15,5.00,5.49,4786,3202,2260,-99,5.06,4.18,0.527,0.50,70.33,70.4,90,-99,127,-99,14,-99,3.55,-99,1965,1409,65,-99,13.90,-99,2.82,-99,1.24,-99,94,-99,4,-99,-99,teste_IP200_IT300_poi_exp_teste,IP200_IT300_poi_exp
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,88,82,2750,1997,3764,2923,1649,1258,0.1668,0.17,5.00,5.52,4970,3204,2220,-99,4.83,6.26,0.553,0.62,73.07,72.7,97,-99,130,-99,13,-99,3.52,-99,1770,1349,57,-99,13.54,-99,3.14,-99,1.20,-99,97,-99,4,-99,-99,teste_IP200_IT300_poi_exp_teste,IP200_IT300_poi_exp
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,85,84,3108,2630,4130,-99,1656,1215,0.1877,0.21,5.00,4.94,5393,3092,2280,-99,4.96,6.14,0.576,-99,75.26,72.3,106,-99,137,-99,12,-99,3.42,-99,1829,2069,61,-99,14.25,-99,3.01,-99,1.40,-99,94,-99,4,-99,-99,teste_IP200_IT300_poi_exp_teste,IP200_IT300_poi_exp
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,89,72,1743,1605,2649,2313,1342,1090,0.1299,0.15,5.00,5.49,4467,3202,2720,-99,5.19,4.18,0.390,0.50,65.78,70.4,62,-99,110,-99,25,-99,3.56,-99,1832,1409,60,-99,13.89,-99,2.79,-99,1.23,-99,98,-99,4,-99,-99,teste_IP200_IT300_poi_gauss_teste,IP200_IT300_poi_gauss
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,92,82,2044,1997,3025,2923,1472,1258,0.1389,0.17,5.00,5.52,4988,3204,2940,-99,4.94,6.26,0.410,0.62,67.56,72.7,74,-99,124,-99,24,-99,3.62,-99,1678,1349,54,-99,13.60,-99,2.98,-99,1.20,-99,101,-99,4,-99,-99,teste_IP200_IT300_poi_gauss_teste,IP200_IT300_poi_gauss
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,90,84,2869,2630,3810,-99,1336,1215,0.2147,0.21,5.00,4.94,5671,3092,2800,-99,4.94,6.14,0.506,-99,75.31,72.3,98,-99,138,-99,20,-99,3.40,-99,1695,2069,56,-99,14.31,-99,3.00,-99,1.40,-99,99,-99,4,-99,-99,teste_IP200_IT300_poi_gauss_teste,IP200_IT300_poi_gauss
1,EMEP1403BN,1,1,BN,46,35,52,42,63,56,84,72,1955,1605,2936,2313,1431,1090,0.1367,0.15,5.00,5.49,4695,3202,2740,-99,5.43,4.18,0.417,0.50,66.60,70.4,69,-99,117,-99,22,-99,3.54,-99,1932,1409,64,-99,13.90,-99,2.83,-99,1.25,-99,93,-99,4,-99,-99,teste_IP200_IT300_poi_matern3_2_teste,IP200_IT300_poi_matern3_2
