RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,simulacao
1,EMEP1403BN,3,1,BN,50,49,57,55,60,68,90,90,3189,2803,4037,3069,1497,1501,0.2131,0.19,5.00,4.52,5725,4319,2540,-99,4.56,6.34,0.557,0.65,78.98,74.4,117,-99,149,-99,16,-99,3.66,-99,1601,1224,53,-99,13.40,-99,3.02,-99,1.08,-99,99,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
2,EMEP1403BN,4,1,BN,50,50,56,54,59,64,89,82,3388,4004,4290,3178,1528,1062,0.2217,0.23,5.00,5.31,6432,5302,3040,-99,5.07,4.92,0.527,-99,78.96,78.2,127,-99,165,-99,21,-99,3.74,-99,1879,2161,66,-99,13.71,-99,2.98,-99,1.11,-99,98,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
3,EMEP1403BN,5,1,BN,45,51,51,54,54,68,86,90,3648,3993,4663,5140,1690,1964,0.2158,0.19,5.00,4.96,6870,5002,3220,-99,6.03,5.67,0.531,-99,78.23,77.6,134,-99,172,-99,19,-99,3.66,-99,2217,2306,73,-99,14.69,-99,2.97,-99,1.47,-99,95,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
4,EMEP1403BN,6,1,BN,46,55,52,67,55,74,86,91,3387,4340,4281,5358,1520,3157,0.2228,0.19,5.00,4.95,6831,4261,3440,-99,5.91,5.00,0.496,-99,79.10,74.9,125,-99,167,-99,24,-99,3.70,-99,2191,1849,71,-99,14.51,-99,2.95,-99,1.37,-99,95,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
5,EMEP1403BN,9,1,BN,46,47,53,56,57,65,91,86,3187,2080,4030,3807,1305,1151,0.2442,0.17,5.00,4.63,5959,3027,2770,-99,5.11,4.59,0.535,0.69,79.07,71.8,112,-99,146,-99,18,-99,3.52,-99,1941,2002,66,-99,14.02,-99,2.93,-99,1.22,-99,100,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
1,EMEP1403BN,3,1,BN,50,49,53,55,64,68,91,90,3259,2803,4313,3069,1699,1501,0.1918,0.19,5.00,4.52,5868,4319,2610,-99,4.42,6.34,0.555,0.65,75.56,74.4,114,-99,146,-99,13,-99,3.49,-99,1541,1224,51,-99,13.40,-99,3.41,-99,1.08,-99,100,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
2,EMEP1403BN,4,1,BN,50,50,52,54,63,64,90,82,3614,4004,4639,3178,1690,1062,0.2139,0.23,5.00,5.31,6491,5302,2880,-99,4.91,4.92,0.557,-99,77.91,78.2,132,-99,166,-99,16,-99,3.65,-99,1816,2161,63,-99,13.68,-99,3.21,-99,1.10,-99,99,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
3,EMEP1403BN,5,1,BN,45,51,47,54,58,68,87,90,3794,3993,4838,5140,1728,1964,0.2196,0.19,5.00,4.96,6968,5002,3170,-99,5.83,5.67,0.544,-99,78.41,77.6,135,-99,172,-99,18,-99,3.56,-99,2152,2306,71,-99,14.44,-99,3.18,-99,1.41,-99,96,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
4,EMEP1403BN,6,1,BN,46,55,49,67,59,74,87,91,3695,4340,4746,5358,1736,3157,0.2128,0.19,5.00,4.95,6934,4261,3240,-99,5.75,5.00,0.533,-99,77.86,74.9,134,-99,174,-99,20,-99,3.62,-99,2127,1849,69,-99,14.52,-99,3.13,-99,1.37,-99,96,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
5,EMEP1403BN,9,1,BN,46,47,49,56,61,65,92,86,3133,2080,4237,3807,1547,1151,0.2026,0.17,5.00,4.63,5911,3027,2780,-99,4.90,4.59,0.530,0.69,73.96,71.8,108,-99,146,-99,17,-99,3.45,-99,1860,2002,64,-99,14.03,-99,3.19,-99,1.19,-99,101,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
1,EMEP1403BN,3,1,BN,50,49,53,55,64,68,90,90,3152,2803,4241,3069,1738,1501,0.1814,0.19,5.00,4.52,5964,4319,2810,-99,4.66,6.34,0.529,0.65,74.33,74.4,110,-99,145,-99,15,-99,3.48,-99,1587,1224,53,-99,13.43,-99,3.43,-99,1.08,-99,99,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
2,EMEP1403BN,4,1,BN,50,50,52,54,63,64,88,82,3364,4004,4427,3178,1804,1062,0.1865,0.23,5.00,5.31,6429,5302,3060,-99,5.11,4.92,0.523,-99,76.00,78.2,120,-99,159,-99,18,-99,3.57,-99,1861,2161,65,-99,13.70,-99,3.37,-99,1.11,-99,97,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
3,EMEP1403BN,5,1,BN,45,51,47,54,59,68,85,90,3554,3993,4652,5140,1781,1964,0.1996,0.19,5.00,4.96,6867,5002,3310,-99,6.04,5.67,0.518,-99,76.40,77.6,124,-99,164,-99,20,-99,3.48,-99,2198,2306,72,-99,14.72,-99,3.34,-99,1.48,-99,94,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
4,EMEP1403BN,6,1,BN,46,55,49,67,60,74,86,91,3631,4340,4688,5358,1753,3157,0.2071,0.19,5.00,4.95,7015,4261,3380,-99,5.93,5.00,0.518,-99,77.44,74.9,130,-99,172,-99,22,-99,3.58,-99,2171,1849,70,-99,14.52,-99,3.22,-99,1.38,-99,95,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
5,EMEP1403BN,9,1,BN,46,47,49,56,62,65,90,86,2996,2080,4111,3807,1571,1151,0.1908,0.17,5.00,4.63,5967,3027,2970,-99,5.09,4.59,0.502,0.69,72.89,71.8,102,-99,143,-99,19,-99,3.41,-99,1917,2002,65,-99,14.04,-99,3.27,-99,1.20,-99,99,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
1,EMEP1403BN,3,1,BN,50,49,53,55,60,68,93,90,3145,2803,3996,3069,1506,1501,0.2088,0.19,5.00,4.52,5643,4319,2500,-99,4.26,6.34,0.557,0.65,78.71,74.4,114,-99,145,-99,15,-99,3.64,-99,1563,1224,52,-99,13.39,-99,3.05,-99,1.07,-99,102,-99,4,-99,-99,treino_IP100_IT100_ei_matern5_2,IP100_IT100_ei_matern5_2
