RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,simulacao
1,EMEP1403BN,1,1,BN,45,35,51,42,58,56,83,72,2457,1605,3293,2313,1179,1090,0.2085,0.15,4.44,5.49,4879,3202,2420,-99,5.53,4.18,0.504,0.50,74.63,70.4,87,-99,126,-99,19,-99,3.56,-99,1830,1409,60,-99,13.65,-99,2.83,-99,1.21,-99,92,-99,4,-99,-99,teste_IP100_IT100_ei_exp_teste,IP100_IT100_ei_exp
2,EMEP1403BN,3,1,BN,50,49,55,55,62,68,86,90,3014,2803,3886,3069,1368,1501,0.2203,0.19,4.44,4.52,5531,4319,2520,-99,4.61,6.34,0.545,0.65,77.57,74.4,107,-99,139,-99,15,-99,3.54,-99,1584,1224,53,-99,13.44,-99,3.28,-99,1.09,-99,95,-99,4,-99,-99,teste_IP100_IT100_ei_exp_teste,IP100_IT100_ei_exp
3,EMEP1403BN,8,1,BN,43,41,48,51,55,57,82,84,2982,2630,3808,-99,1187,1215,0.2512,0.21,4.44,4.94,5495,3092,2510,-99,5.33,6.14,0.543,-99,78.32,72.3,103,-99,136,-99,16,-99,3.46,-99,1698,2069,57,-99,14.05,-99,2.94,-99,1.37,-99,91,-99,4,-99,-99,teste_IP100_IT100_ei_exp_teste,IP100_IT100_ei_exp
1,EMEP1403BN,1,1,BN,45,35,51,42,58,56,83,72,2457,1605,3293,2313,1179,1090,0.2085,0.15,4.44,5.49,4879,3202,2420,-99,5.53,4.18,0.504,0.50,74.63,70.4,87,-99,126,-99,19,-99,3.56,-99,1830,1409,60,-99,13.65,-99,2.83,-99,1.21,-99,92,-99,4,-99,-99,teste_IP100_IT100_ei_gauss_teste,IP100_IT100_ei_gauss
2,EMEP1403BN,3,1,BN,50,49,55,55,62,68,86,90,3014,2803,3886,3069,1368,1501,0.2203,0.19,4.44,4.52,5531,4319,2520,-99,4.61,6.34,0.545,0.65,77.57,74.4,107,-99,139,-99,15,-99,3.54,-99,1584,1224,53,-99,13.44,-99,3.28,-99,1.09,-99,95,-99,4,-99,-99,teste_IP100_IT100_ei_gauss_teste,IP100_IT100_ei_gauss
3,EMEP1403BN,8,1,BN,43,41,48,51,55,57,82,84,2982,2630,3808,-99,1187,1215,0.2512,0.21,4.44,4.94,5495,3092,2510,-99,5.33,6.14,0.543,-99,78.32,72.3,103,-99,136,-99,16,-99,3.46,-99,1698,2069,57,-99,14.05,-99,2.94,-99,1.37,-99,91,-99,4,-99,-99,teste_IP100_IT100_ei_gauss_teste,IP100_IT100_ei_gauss
1,EMEP1403BN,1,1,BN,45,35,51,42,58,56,83,72,2457,1605,3293,2313,1179,1090,0.2085,0.15,4.44,5.49,4879,3202,2420,-99,5.53,4.18,0.504,0.50,74.63,70.4,87,-99,126,-99,19,-99,3.56,-99,1830,1409,60,-99,13.65,-99,2.83,-99,1.21,-99,92,-99,4,-99,-99,teste_IP100_IT100_ei_matern3_2_teste,IP100_IT100_ei_matern3_2
2,EMEP1403BN,3,1,BN,50,49,55,55,62,68,86,90,3014,2803,3886,3069,1368,1501,0.2203,0.19,4.44,4.52,5531,4319,2520,-99,4.61,6.34,0.545,0.65,77.57,74.4,107,-99,139,-99,15,-99,3.54,-99,1584,1224,53,-99,13.44,-99,3.28,-99,1.09,-99,95,-99,4,-99,-99,teste_IP100_IT100_ei_matern3_2_teste,IP100_IT100_ei_matern3_2
3,EMEP1403BN,8,1,BN,43,41,48,51,55,57,82,84,2982,2630,3808,-99,1187,1215,0.2512,0.21,4.44,4.94,5495,3092,2510,-99,5.33,6.14,0.543,-99,78.32,72.3,103,-99,136,-99,16,-99,3.46,-99,1698,2069,57,-99,14.05,-99,2.94,-99,1.37,-99,91,-99,4,-99,-99,teste_IP100_IT100_ei_matern3_2_teste,IP100_IT100_ei_matern3_2
1,EMEP1403BN,1,1,BN,45,35,51,42,58,56,83,72,2457,1605,3293,2313,1179,1090,0.2085,0.15,4.44,5.49,4879,3202,2420,-99,5.53,4.18,0.504,0.50,74.63,70.4,87,-99,126,-99,19,-99,3.56,-99,1830,1409,60,-99,13.65,-99,2.83,-99,1.21,-99,92,-99,4,-99,-99,teste_IP100_IT100_ei_matern5_2_teste,IP100_IT100_ei_matern5_2
