RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,linha_resumo,etapa,bnx_mais_importante,simulacao_escolhida,pasta_saida,arquivo_origem,bnx_train,euclidiana,euclidiana_treinamento,euclidiana_teste,param_EMFL,param_FLSD,param_SDPM
5,EMEP1403BN,8,1,BN,44,41,49,51,58,57,82,84,2832,2630,3826,-99,1641,1215,0.1726,0.21,4.64,4.94,5077,3092,2240,-99,3.90,6.14,0.558,-99,74.03,72.3,98,-99,129,-99,12,-99,3.46,-99,1688,2069,56,-99,14.26,-99,2.92,-99,1.34,-99,91,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
6,EMEP1403BN,9,1,BN,46,47,52,56,62,65,86,86,2859,2080,3864,3807,1678,1151,0.1703,0.17,4.64,4.63,5215,3027,2360,-99,3.74,4.59,0.548,0.69,73.99,71.8,97,-99,129,-99,13,-99,3.41,-99,1761,2002,60,-99,13.98,-99,3.19,-99,1.14,-99,95,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
1,EMEP1403BN,2,1,BN,48,42,53,48,66,62,87,82,2210,1997,3459,2923,2012,1258,0.1098,0.17,4.64,5.52,4657,3204,2450,-99,3.90,6.26,0.474,0.62,63.88,72.7,78,-99,119,-99,13,-99,3.53,-99,1688,1349,54,-99,13.60,-99,3.14,-99,1.15,-99,96,-99,4,-99,-99,bestcfg_0003_treinamento_EMEP1403_EXPL1_4,3,treinamento,EMEP1403_EXPL1_4.BNX,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4,melhor_configuracao_treinamento.csv,,7.620217703532404,,,35.0,13.0,16.816285217761273
2,EMEP1403BN,3,1,BN,50,49,56,55,67,68,87,90,2660,2803,3830,3069,2208,1501,0.1205,0.19,4.64,4.52,4913,4319,2250,-99,3.34,6.34,0.541,0.65,69.44,74.4,95,-99,127,-99,10,-99,3.57,-99,1511,1224,51,-99,13.47,-99,3.23,-99,1.06,-99,96,-99,4,-99,-99,bestcfg_0003_treinamento_EMEP1403_EXPL1_4,3,treinamento,EMEP1403_EXPL1_4.BNX,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4,melhor_configuracao_treinamento.csv,,7.620217703532404,,,35.0,13.0,16.816285217761273
3,EMEP1403BN,5,1,BN,45,51,50,54,61,68,82,90,3037,3993,4304,5140,2228,1964,0.1363,0.19,4.64,4.96,5833,5002,2800,-99,4.34,5.67,0.521,-99,70.55,77.6,106,-99,144,-99,14,-99,3.50,-99,2013,2306,66,-99,14.70,-99,3.29,-99,1.36,-99,91,-99,4,-99,-99,bestcfg_0003_treinamento_EMEP1403_EXPL1_4,3,treinamento,EMEP1403_EXPL1_4.BNX,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4,melhor_configuracao_treinamento.csv,,7.620217703532404,,,35.0,13.0,16.816285217761273
4,EMEP1403BN,6,1,BN,46,55,51,67,62,74,83,91,3052,4340,4420,5358,2418,3157,0.1262,0.19,4.64,4.95,6034,4261,2980,-99,4.38,5.00,0.506,-99,69.04,74.9,108,-99,149,-99,15,-99,3.53,-99,2030,1849,66,-99,14.51,-99,3.31,-99,1.29,-99,92,-99,4,-99,-99,bestcfg_0003_treinamento_EMEP1403_EXPL1_4,3,treinamento,EMEP1403_EXPL1_4.BNX,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4,melhor_configuracao_treinamento.csv,,7.620217703532404,,,35.0,13.0,16.816285217761273
5,EMEP1403BN,8,1,BN,44,41,49,51,60,57,84,84,2716,2630,3942,-99,2006,1215,0.1354,0.21,4.64,4.94,5182,3092,2470,-99,3.90,6.14,0.524,-99,68.91,72.3,94,-99,130,-99,12,-99,3.46,-99,1688,2069,56,-99,14.26,-99,2.92,-99,1.34,-99,93,-99,4,-99,-99,bestcfg_0003_treinamento_EMEP1403_EXPL1_4,3,treinamento,EMEP1403_EXPL1_4.BNX,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4,melhor_configuracao_treinamento.csv,,7.620217703532404,,,35.0,13.0,16.816285217761273
6,EMEP1403BN,9,1,BN,46,47,52,56,65,65,88,86,2848,2080,4038,3807,1904,1151,0.1496,0.17,4.64,4.63,5331,3027,2480,-99,3.74,4.59,0.534,0.69,70.53,71.8,98,-99,133,-99,13,-99,3.43,-99,1761,2002,60,-99,13.98,-99,3.18,-99,1.14,-99,97,-99,4,-99,-99,bestcfg_0003_treinamento_EMEP1403_EXPL1_4,3,treinamento,EMEP1403_EXPL1_4.BNX,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4,melhor_configuracao_treinamento.csv,,7.620217703532404,,,35.0,13.0,16.816285217761273
1,EMEP1403BN,2,1,BN,47,42,52,48,63,62,85,82,2450,1997,3485,2923,1765,1258,0.1388,0.17,4.64,5.52,4649,3204,2200,-99,3.80,6.26,0.527,0.62,70.30,72.7,84,-99,117,-99,12,-99,3.44,-99,1585,1349,53,-99,13.43,-99,3.30,-99,1.14,-99,94,-99,4,-99,-99,bestcfg_0004_treinamento_EMEP1403_EXPL1_5,4,treinamento,EMEP1403_EXPL1_5.BNX,IP100_IT300_ei_exp,EMEP1403_EXPL1_5,melhor_configuracao_treinamento.csv,,7.477384351209912,,,34.353942617960065,11.77246621169537,16.482535083429912
2,EMEP1403BN,3,1,BN,49,49,55,55,64,68,85,90,2742,2803,3685,3069,1825,1501,0.1503,0.19,4.64,4.52,4769,4319,2030,-99,3.28,6.34,0.575,0.65,74.40,74.4,95,-99,122,-99,9,-99,3.48,-99,1429,1224,49,-99,13.21,-99,3.40,-99,1.03,-99,94,-99,4,-99,-99,bestcfg_0004_treinamento_EMEP1403_EXPL1_5,4,treinamento,EMEP1403_EXPL1_5.BNX,IP100_IT300_ei_exp,EMEP1403_EXPL1_5,melhor_configuracao_treinamento.csv,,7.477384351209912,,,34.353942617960065,11.77246621169537,16.482535083429912
