pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSD,SDPM,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_PREV5_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV5_8.BNX,,34.42481841547727,12.465333687428933,14.061992104979357,EMEP1403_PREV5_8.BNX,1.0566631698144338,19.425188088320983
EMEP1403_PREV5_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_exp,EMEP1403_PREV5_9.BNX,,34.21002356508734,11.056268305690333,16.671558695057694,EMEP1403_PREV5_9.BNX,7.3038620730907935,0.8991449792768034
EMEP1403_PREV6_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_gauss,EMEP1403_PREV6_8.BNX,,34.00174531149641,12.841152689015082,14.023056599863285,EMEP1403_PREV6_8.BNX,1.0855365773761434,19.35868127509505
EMEP1403_PREV6_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_matern3_2,EMEP1403_PREV6_9.BNX,,34.391802339900785,10.922951609596945,17.469204697336846,EMEP1403_PREV6_9.BNX,7.3757726707122115,0.9448518128886512
EMEP1403_PREV8_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV8_9.BNX,,33.94303659716769,13.0,14.0,EMEP1403_PREV8_9.BNX,1.2158027417666433,19.11884441453904
EMEP1403_PREV1_2,GLUE,melhor_configuracao_GLUE.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_2.BNX,7.761471775678537,34.77,9.066,22.78,,,
EMEP1403_PREV1_3,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_poi_matern3_2,EMEP1403_PREV1_3.BNX,7.473174742367118,34.76,6.407,24.26,,,
EMEP1403_PREV1_4,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ucb_gauss,EMEP1403_PREV1_4.BNX,7.620217703532404,34.80,11.69,19.97,,,
EMEP1403_PREV1_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_exp,EMEP1403_PREV1_5.BNX,7.477384351209912,34.48,12.98,18.02,,,
EMEP1403_PREV1_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_exp,EMEP1403_PREV1_6.BNX,7.368785638211353,34.84,12.73,17.02,,,
