RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,linha_resumo,etapa,bnx_mais_importante,simulacao_escolhida,pasta_saida,arquivo_origem,bnx_train,euclidiana,euclidiana_treinamento,euclidiana_teste,param_EMFL,param_FLSH,param_FLSD,param_SDPM,param_FLLF,param_LFMAX,param_SLAVR,param_SIZLF,param_WTPSD,param_SFDUR,param_SDPDV,param_PODUR,param_THRSH
2,EMEP1403BN,3,1,BN,50,49,57,55,67,68,89,90,2747,2803,3629,3069,1427,1501,0.1925,0.19,5.00,4.52,5725,4319,2980,-99,4.52,6.34,0.480,0.65,75.67,74.4,98,-99,136,-99,20,-99,3.58,-99,1555,1224,52,-99,13.55,-99,3.24,-99,1.09,-99,98,-99,4,-99,-99,bestcfg_0020_pos_treinamento_EMEP1403_PREV1_3_8,20,pos_treinamento,EMEP1403_PREV1_3_8.BNX,IP200_IT300_ucb_gauss,EMEP1403_PREV1_3_8,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_3_8.BNX,,0.9103282487949748,12.542206440715644,35.0,5.0,13.0,19.05786796111056,34.0,0.98,291.574692888524,133.0,0.22,11.0,5.0,16.0,78.0
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,87,84,2668,2630,3521,-99,1240,1215,0.2152,0.21,5.00,4.94,5572,3092,2900,-99,4.88,6.14,0.479,-99,75.78,72.3,91,-99,133,-99,22,-99,3.42,-99,1678,2069,56,-99,14.32,-99,2.97,-99,1.38,-99,96,-99,4,-99,-99,bestcfg_0020_pos_treinamento_EMEP1403_PREV1_3_8,20,pos_treinamento,EMEP1403_PREV1_3_8.BNX,IP200_IT300_ucb_gauss,EMEP1403_PREV1_3_8,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_3_8.BNX,,0.9103282487949748,12.542206440715644,35.0,5.0,13.0,19.05786796111056,34.0,0.98,291.574692888524,133.0,0.22,11.0,5.0,16.0,78.0
1,EMEP1403BN,1,1,BN,46,35,51,42,59,56,86,72,2534,1605,3343,2313,1403,1090,0.1806,0.15,4.89,5.49,4390,3202,1860,-99,4.67,4.18,0.577,0.50,75.82,70.4,90,-99,118,-99,12,-99,3.55,-99,1757,1409,58,-99,13.87,-99,2.88,-99,1.21,-99,95,-99,4,-99,-99,bestcfg_0021_GLUE_EMEP1403_PREV1_3_9,21,GLUE,EMEP1403_PREV1_3_9.BNX,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_3_9,melhor_configuracao_treinamento.csv,,3.952300340815274,,,34.85,4.0,10.03,21.65,18.0,0.95,334.4,134.1,0.228,19.72,4.889,4.963,78.0
2,EMEP1403BN,3,1,BN,50,49,55,55,63,68,89,90,2945,2803,3732,3069,1565,1501,0.1882,0.19,4.89,4.52,4825,4319,1880,-99,3.96,6.34,0.610,0.65,78.91,74.4,107,-99,132,-99,10,-99,3.64,-99,1483,1224,50,-99,13.47,-99,3.06,-99,1.07,-99,98,-99,4,-99,-99,bestcfg_0021_GLUE_EMEP1403_PREV1_3_9,21,GLUE,EMEP1403_PREV1_3_9.BNX,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_3_9,melhor_configuracao_treinamento.csv,,3.952300340815274,,,34.85,4.0,10.03,21.65,18.0,0.95,334.4,134.1,0.228,19.72,4.889,4.963,78.0
3,EMEP1403BN,9,1,BN,46,47,51,56,60,65,90,86,3161,2080,4016,3807,1362,1151,0.2321,0.17,4.89,4.63,5271,3027,2110,-99,4.38,4.59,0.600,0.69,78.72,71.8,110,-99,136,-99,11,-99,3.47,-99,1724,2002,59,-99,14.03,-99,3.04,-99,1.16,-99,99,-99,4,-99,-99,bestcfg_0021_GLUE_EMEP1403_PREV1_3_9,21,GLUE,EMEP1403_PREV1_3_9.BNX,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_3_9,melhor_configuracao_treinamento.csv,,3.952300340815274,,,34.85,4.0,10.03,21.65,18.0,0.95,334.4,134.1,0.228,19.72,4.889,4.963,78.0
1,EMEP1403BN,1,1,BN,42,35,45,42,50,56,68,72,2089,1605,2713,2313,1280,1090,0.1632,0.15,5.00,5.49,3672,3202,1580,-99,4.21,4.18,0.569,0.50,76.99,70.4,73,-99,97,-99,10,-99,3.49,-99,1418,1409,47,-99,12.65,-99,3.16,-99,1.05,-99,77,-99,4,-99,-99,bestcfg_0022_pos_treinamento_EMEP1403_PREV1_3_9,22,pos_treinamento,EMEP1403_PREV1_3_9.BNX,IP200_IT300_ucb_gauss,EMEP1403_PREV1_3_9,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_3_9.BNX,,4.863769922740239,0.5843989785941631,31.967747166386413,2.0,6.0,14.0,10.0,0.98,350.0,133.0,0.22,11.0,5.0,4.0,78.0
2,EMEP1403BN,3,1,BN,46,49,49,55,54,68,72,90,1969,2803,2555,3069,1207,1501,0.1631,0.19,5.00,4.52,3426,4319,1460,-99,3.40,6.34,0.575,0.65,77.06,74.4,69,-99,89,-99,8,-99,3.49,-99,1151,1224,39,-99,12.27,-99,3.28,-99,0.92,-99,81,-99,4,-99,-99,bestcfg_0022_pos_treinamento_EMEP1403_PREV1_3_9,22,pos_treinamento,EMEP1403_PREV1_3_9.BNX,IP200_IT300_ucb_gauss,EMEP1403_PREV1_3_9,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_3_9.BNX,,4.863769922740239,0.5843989785941631,31.967747166386413,2.0,6.0,14.0,10.0,0.98,350.0,133.0,0.22,11.0,5.0,4.0,78.0
3,EMEP1403BN,9,1,BN,42,47,45,56,50,65,72,86,2316,2080,2953,3807,1196,1151,0.1937,0.17,5.00,4.63,3981,3027,1660,-99,3.80,4.59,0.582,0.69,78.44,71.8,82,-99,106,-99,10,-99,3.52,-99,1389,2002,48,-99,12.88,-99,2.78,-99,1.06,-99,81,-99,4,-99,-99,bestcfg_0022_pos_treinamento_EMEP1403_PREV1_3_9,22,pos_treinamento,EMEP1403_PREV1_3_9.BNX,IP200_IT300_ucb_gauss,EMEP1403_PREV1_3_9,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_3_9.BNX,,4.863769922740239,0.5843989785941631,31.967747166386413,2.0,6.0,14.0,10.0,0.98,350.0,133.0,0.22,11.0,5.0,4.0,78.0
1,EMEP1403BN,1,1,BN,45,35,51,42,59,56,85,72,2483,1605,3373,2313,1542,1090,0.1610,0.15,4.75,5.49,4400,3202,1920,-99,4.70,4.18,0.564,0.50,73.63,70.4,88,-99,118,-99,11,-99,3.55,-99,1682,1409,55,-99,13.86,-99,2.86,-99,1.21,-99,94,-99,4,-99,-99,bestcfg_0023_GLUE_EMEP1403_PREV1_4_5,23,GLUE,EMEP1403_PREV1_4_5.BNX,IP200_IT300_ei_gauss,EMEP1403_PREV1_4_5,melhor_configuracao_treinamento.csv,,3.834920450243567,,,34.5,4.0,10.68,20.32,18.0,0.95,335.6,136.7,0.225,21.43,4.753,6.463,78.0
2,EMEP1403BN,4,1,BN,49,50,54,54,62,64,86,82,3225,4004,4169,3178,1803,1062,0.1789,0.23,4.75,5.31,5363,5302,2140,-99,4.17,4.92,0.601,-99,77.36,78.2,116,-99,143,-99,10,-99,3.61,-99,1573,2161,55,-99,13.64,-99,3.25,-99,1.08,-99,95,-99,4,-99,-99,bestcfg_0023_GLUE_EMEP1403_PREV1_4_5,23,GLUE,EMEP1403_PREV1_4_5.BNX,IP200_IT300_ei_gauss,EMEP1403_PREV1_4_5,melhor_configuracao_treinamento.csv,,3.834920450243567,,,34.5,4.0,10.68,20.32,18.0,0.95,335.6,136.7,0.225,21.43,4.753,6.463,78.0
3,EMEP1403BN,5,1,BN,44,51,49,54,58,68,83,90,3484,3993,4421,5140,1759,1964,0.1981,0.19,4.75,4.96,5898,5002,2410,-99,5.22,5.67,0.591,-99,78.82,77.6,123,-99,153,-99,13,-99,3.53,-99,1913,2306,64,-99,14.44,-99,3.23,-99,1.37,-99,92,-99,4,-99,-99,bestcfg_0023_GLUE_EMEP1403_PREV1_4_5,23,GLUE,EMEP1403_PREV1_4_5.BNX,IP200_IT300_ei_gauss,EMEP1403_PREV1_4_5,melhor_configuracao_treinamento.csv,,3.834920450243567,,,34.5,4.0,10.68,20.32,18.0,0.95,335.6,136.7,0.225,21.43,4.753,6.463,78.0
