pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSD,SDPM,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_EXPL1_3,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3.BNX,7.473174742367118,34.76,6.407,24.26,,,
EMEP1403_EXPL1_4,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4.BNX,7.620217703532404,34.80,11.69,19.97,,,
EMEP1403_EXPL1_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_exp,EMEP1403_EXPL1_5.BNX,7.477384351209912,34.48,12.98,18.02,,,
EMEP1403_EXPL1_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_exp,EMEP1403_EXPL1_6.BNX,7.368785638211353,34.84,12.73,17.02,,,
EMEP1403_EXPL1_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern3_2,EMEP1403_EXPL1_8.BNX,1.0109172747255366,34.90,12.80,18.18,,,
EMEP1403_EXPL1_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_matern5_2,EMEP1403_EXPL1_9.BNX,7.624877196096635,34.82,9.77,21.74,,,
EMEP1403_EXPL2_3,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_gauss,EMEP1403_EXPL2_3.BNX,7.542875352844713,34.50,7.983,22.05,,,
EMEP1403_EXPL2_4,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern5_2,EMEP1403_EXPL2_4.BNX,7.673521320125757,34.51,9.980,21.28,,,
EMEP1403_EXPL2_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ucb_gauss,EMEP1403_EXPL2_5.BNX,7.468624334078229,34.47,6.593,22.53,,,
EMEP1403_EXPL2_6,GLUE,melhor_configuracao_GLUE.csv,IP200_IT300_poi_matern3_2,EMEP1403_EXPL2_6.BNX,7.447954187031983,34.43,10.44,19.16,,,
EMEP1403_EXPL2_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern5_2,EMEP1403_EXPL2_8.BNX,1.1324683515306757,34.49,8.162,21.97,,,
EMEP1403_EXPL2_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_exp,EMEP1403_EXPL2_9.BNX,7.728638054156076,34.50,11.58,18.73,,,
EMEP1403_EXPL3_4,GLUE,melhor_configuracao_GLUE.csv,IP200_IT300_ucb_matern3_2,EMEP1403_EXPL3_4.BNX,7.29662127202084,34.51,12.93,16.60,,,
EMEP1403_EXPL3_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_exp,EMEP1403_EXPL3_5.BNX,7.126815925150691,33.77,8.726,20.20,,,
EMEP1403_EXPL3_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ucb_matern5_2,EMEP1403_EXPL3_6.BNX,7.244815474683808,33.09,12.98,16.92,,,
EMEP1403_EXPL3_8,GLUE,melhor_configuracao_GLUE.csv,IP200_IT300_ucb_matern3_2,EMEP1403_EXPL3_8.BNX,1.0158527636665513,34.52,8.234,21.07,,,
EMEP1403_EXPL3_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_poi_matern5_2,EMEP1403_EXPL3_9.BNX,7.355397724530164,34.48,7.933,21.57,,,
EMEP1403_EXPL4_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_exp,EMEP1403_EXPL4_5.BNX,7.253208361432198,33.73,8.594,21.51,,,
EMEP1403_EXPL4_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern3_2,EMEP1403_EXPL4_6.BNX,7.235259981673663,33.18,7.675,21.89,,,
EMEP1403_EXPL4_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_poi_matern5_2,EMEP1403_EXPL4_8.BNX,0.9818816781165824,34.52,9.786,21.21,,,
EMEP1403_EXPL4_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern5_2,EMEP1403_EXPL4_9.BNX,7.584488959676906,34.48,6.775,24.13,,,
EMEP1403_EXPL5_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_gauss,EMEP1403_EXPL5_6.BNX,7.020324817990173,32.59,11.39,18.06,,,
EMEP1403_EXPL5_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_exp,EMEP1403_EXPL5_8.BNX,0.980827299410922,33.82,11.18,18.89,,,
EMEP1403_EXPL5_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_matern5_2,EMEP1403_EXPL5_9.BNX,7.271767654778114,33.76,12.62,18.38,,,
EMEP1403_EXPL6_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_matern5_2,EMEP1403_EXPL6_8.BNX,0.949209581044891,33.35,11.26,18.33,,,
EMEP1403_EXPL6_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ucb_gauss,EMEP1403_EXPL6_9.BNX,7.250829240152389,33.18,12.63,18.05,,,
EMEP1403_EXPL8_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_matern5_2,EMEP1403_EXPL8_9.BNX,1.012140889898015,34.51,12.78,17.61,,,
