pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSH,FLSD,SDPM,FLLF,LFMAX,SLAVR,SIZLF,WTPSD,SFDUR,SDPDV,PODUR,THRSH,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_PREV1_3_8,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ei_matern5_2,EMEP1403_PREV1_3_8.BNX,0.9040025761127136,34.81,4.000,8.124,22.55,18.00,0.950,277.4,154.4,0.249,16.89,3.494,4.120,78.00,,,
EMEP1403_PREV1_3_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV1_3_8.BNX,,35.0,5.0,13.0,19.05786796111056,34.0,0.98,291.574692888524,133.0,0.22,11.0,5.0,16.0,78.0,EMEP1403_PREV1_3_8.BNX,0.9103282487949748,12.542206440715644
EMEP1403_PREV1_3_9,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_3_9.BNX,3.952300340815274,34.85,4.000,10.03,21.65,18.00,0.950,334.4,134.1,0.228,19.72,4.889,4.963,78.00,,,
EMEP1403_PREV1_3_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV1_3_9.BNX,,31.967747166386413,2.0,6.0,14.0,10.0,0.98,350.0,133.0,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_3_9.BNX,4.863769922740239,0.5843989785941631
EMEP1403_PREV1_4_5,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ei_gauss,EMEP1403_PREV1_4_5.BNX,3.834920450243567,34.50,4.000,10.68,20.32,18.00,0.950,335.6,136.7,0.225,21.43,4.753,6.463,78.00,,,
EMEP1403_PREV1_4_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_5.BNX,,29.530030797217105,2.1903076226747378,6.0,14.0,22.27031665621267,0.98,297.4833123775034,140.15054746681164,0.22,13.82750399768304,4.04677262399487,4.0,78.0,EMEP1403_PREV1_4_5.BNX,5.253198706839392,1.0751554981266858
EMEP1403_PREV1_4_6,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_6.BNX,3.872581906487298,34.81,4.000,7.719,22.67,18.00,0.950,317.2,140.9,0.236,11.22,4.876,4.360,78.00,,,
EMEP1403_PREV1_4_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_matern3_2,EMEP1403_PREV1_4_6.BNX,,35.0,2.0,6.0,14.0,34.0,0.98,348.90077557146327,140.59792084111533,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_4_6.BNX,4.95716222427289,1.088701803798722
EMEP1403_PREV1_4_8,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_poi_matern3_2,EMEP1403_PREV1_4_8.BNX,0.757074229437692,34.75,4.000,9.866,22.21,18.00,0.950,307.5,133.2,0.223,21.33,4.764,12.79,78.00,,,
EMEP1403_PREV1_4_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_matern5_2,EMEP1403_PREV1_4_8.BNX,,35.0,2.0,13.0,19.40559241269236,24.71437545828319,0.98,326.7404181444168,145.0228912309708,0.22,11.0,5.0,16.0,78.0,EMEP1403_PREV1_4_8.BNX,0.7702299001386332,13.267090749010231
EMEP1403_PREV1_4_9,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_4_9.BNX,4.03382580619517,34.87,4.000,12.70,20.58,18.00,0.950,314.6,137.7,0.263,21.23,4.026,4.488,78.0,,,
EMEP1403_PREV1_4_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ucb_matern5_2,EMEP1403_PREV1_4_9.BNX,,30.0136450241456,5.0,6.0,14.0,16.85687855745068,0.98,259.0985884081604,168.88733815363608,0.22,19.4618204824963,5.0,13.66231743221846,78.0,EMEP1403_PREV1_4_9.BNX,5.724207924276204,0.772525135473567
EMEP1403_PREV1_5_6,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ei_exp,EMEP1403_PREV1_5_6.BNX,3.8797179089418834,33.15,4.000,10.39,20.19,18.00,0.950,331.9,144.4,0.221,21.27,4.042,9.252,78.00,,,
EMEP1403_PREV1_5_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ei_gauss,EMEP1403_PREV1_5_6.BNX,,35.0,2.0,6.0,14.0,30.36858385575624,1.0,258.6536923095789,133.0,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_5_6.BNX,4.79939556796826,1.1407823225411675
EMEP1403_PREV1_5_8,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV1_5_8.BNX,0.7468824668726114,34.89,4.000,9.781,20.81,18.00,0.950,312.0,137.7,0.222,17.72,4.429,4.165,78.00,,,
EMEP1403_PREV1_5_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ucb_exp,EMEP1403_PREV1_5_8.BNX,,35.0,5.0,13.0,14.752001793667525,17.97056405892181,0.98,329.7140877138286,146.81406163372094,0.22,11.0,5.0,14.818129009032264,78.0,EMEP1403_PREV1_5_8.BNX,0.7782730820084247,12.145702986338677
EMEP1403_PREV1_5_9,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_gauss,EMEP1403_PREV1_5_9.BNX,4.047481065589837,34.49,4.000,11.34,18.86,18.00,0.950,317.8,133.0,0.252,21.62,3.333,7.280,78.00,,,
EMEP1403_PREV1_5_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ei_matern5_2,EMEP1403_PREV1_5_9.BNX,,28.88947386922005,2.0,6.0,19.882988287086988,19.52845548435676,0.98,331.49251129781527,133.0,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_5_9.BNX,4.289685139541201,0.8535940437923353
EMEP1403_PREV1_6_8,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ei_exp,EMEP1403_PREV1_6_8.BNX,0.7221731544758463,34.88,4.000,11.28,18.64,18.00,0.950,348.6,138.1,0.243,18.02,4.034,15.21,78.00,,,
EMEP1403_PREV1_6_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_matern3_2,EMEP1403_PREV1_6_8.BNX,,35.0,5.0,13.0,14.0,25.203743845197423,0.98,343.3916302440529,133.0,0.22,11.0,5.0,13.091837962235283,78.0,EMEP1403_PREV1_6_8.BNX,0.7387878785782191,12.145209369730573
EMEP1403_PREV1_6_9,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_6_9.BNX,3.8839269051576912,33.98,4.000,7.650,23.66,18.00,0.950,334.0,144.3,0.268,21.49,4.969,4.939,78.00,,,
EMEP1403_PREV1_6_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV1_6_9.BNX,,35.0,2.0,6.0,14.0,34.0,1.0,350.0,133.0,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_6_9.BNX,5.037059061491344,0.8844224826794824
EMEP1403_PREV1_8_9,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_ucb_gauss,EMEP1403_PREV1_8_9.BNX,0.8757456433377835,34.78,4.000,9.810,23.41,18.00,0.950,336.9,134.7,0.246,21.69,3.369,4.941,78.00,,,
EMEP1403_PREV1_8_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV1_8_9.BNX,,35.0,4.193393606447356,13.0,19.436471743756865,21.09451338910929,0.98,325.4698405935707,133.0,0.22,11.0,5.0,16.0,78.0,EMEP1403_PREV1_8_9.BNX,0.8963432166198976,12.652686588166016
EMEP1403_PREV2_3_4,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_poi_matern3_2,EMEP1403_PREV2_3_4.BNX,3.8446829801595057,34.49,4.000,11.52,17.06,18.00,0.950,314.9,133.2,0.236,15.17,4.386,14.61,78.00,,,
EMEP1403_PREV2_3_4,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_exp,EMEP1403_PREV2_3_4.BNX,,28.95974032110381,3.718158769479266,8.025792238795484,16.146085571579903,18.14937435701743,0.9928434791015764,348.473866338234,170.1430278155952,0.2209756104310402,12.361509798688358,4.258668390551048,7.269176008626317,78.0,EMEP1403_PREV2_3_4.BNX,6.579144935911896,0.914027053831418
EMEP1403_PREV2_3_5,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_exp,EMEP1403_PREV2_3_5.BNX,3.8496669920679687,34.49,4.000,9.042,19.45,18.00,0.950,297.0,135.8,0.223,14.55,3.871,4.570,78.00,,,
EMEP1403_PREV2_3_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV2_3_5.BNX,,35.0,2.0,6.0,14.0,34.0,0.98,332.4516913116563,148.1438628272479,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV2_3_5.BNX,5.052148503108117,0.8405735849225654
EMEP1403_PREV2_3_6,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV2_3_6.BNX,3.6845426631284175,34.49,4.000,9.653,18.00,18.00,0.950,319.0,134.2,0.237,21.09,4.066,13.39,78.00,,,
EMEP1403_PREV2_3_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_exp,EMEP1403_PREV2_3_6.BNX,,32.520677768435924,2.0,6.0,14.0,32.9910975453074,0.98,262.04397277486777,133.0,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV2_3_6.BNX,4.781746664063716,0.9960091193699288
EMEP1403_PREV2_3_8,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ucb_matern5_2,EMEP1403_PREV2_3_8.BNX,0.9295723242197538,34.51,4.000,9.531,20.61,18.00,0.950,348.3,133.2,0.226,19.74,4.338,15.81,78.00,,,
