*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 142    40    0.0   11.2   12.1   13.5   27.0   0.38   26.6   16.1   21.0   23.0   16.1   21.0   23.0   86.4  400.5   0.00   0.00
 2015 143    41    0.0   11.2   12.1   12.2   24.4   0.44   26.8   18.7   22.5   24.0   18.7   22.5   24.0   86.4  400.5   0.00   0.00
 2015 144    42    0.0   11.1   12.0   14.7   29.4   0.32   28.2   18.1   22.8   24.7   18.1   22.8   24.7   86.4  400.5   0.00   0.00
 2015 145    43    0.0   11.1   12.0   16.2   32.4   0.25   28.4   19.5   23.7   25.3   19.5   23.7   25.3   86.4  400.5   0.00   0.00
 2015 146    44    0.0   11.1   12.0   16.4   32.8   0.24   28.2   18.9   23.2   25.0   18.9   23.2   25.0   86.4  400.5   0.00   0.00
 2015 147    45    0.0   11.1   12.0   14.1   28.2   0.34   28.3   18.9   23.3   25.1   18.9   23.3   25.1   86.4  400.5   0.00   0.00
 2015 148    46    0.0   11.1   12.0   14.2   28.4   0.33   27.7   12.2   19.4   22.4   12.2   19.4   22.4   86.4  400.5   0.00   0.00
 2015 149    47    0.0   11.1   12.0   14.7   29.4   0.31   27.2   10.4   18.2   21.4   10.4   18.2   21.4   86.4  400.5   0.00   0.00
 2015 150    48    0.0   11.1   12.0   16.4   32.8   0.23   29.0   11.0   19.4   22.8   11.0   19.4   22.8   86.4  400.5   0.00   0.00
 2015 151    49    0.0   11.1   12.0   16.5   33.0   0.22   30.7   12.0   20.7   24.3   12.0   20.7   24.3   86.4  400.5   0.00   0.00
 2015 152    50    0.0   11.1   12.0   14.8   29.6   0.30   29.6   12.4   20.4   23.7   12.4   20.4   23.7   86.4  400.5   0.00   0.00
 2015 153    51    0.0   11.1   12.0   15.3   30.6   0.27   28.7   16.6   22.2   24.5   16.6   22.2   24.5   86.4  400.5   0.00   0.00
 2015 154    52    0.0   11.1   12.0   14.2   28.4   0.32   27.7   16.2   21.6   23.7   16.2   21.6   23.7   86.4  400.5   0.00   0.00
 2015 155    53    0.0   11.1   12.0   16.1   32.2   0.23   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 156    54    0.0   11.1   12.0   15.4   30.8   0.26   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 157    55    0.0   11.1   12.0   15.6   31.2   0.25   27.8   15.6   21.3   23.6   15.6   21.3   23.6   86.4  400.5   0.00   0.00
 2015 158    56    0.0   11.0   12.0   15.2   30.4   0.27   27.7   15.9   21.4   23.6   15.9   21.4   23.6   86.4  400.5   0.00   0.00
 2015 159    57    0.0   11.0   12.0   15.1   30.2   0.27   28.0   14.5   20.8   23.3   14.5   20.8   23.3   86.4  400.5   0.00   0.00
 2015 160    58    0.0   11.0   12.0   16.0   32.0   0.23   28.3   14.2   20.8   23.4   14.2   20.8   23.4   86.4  400.5   0.00   0.00
 2015 161    59    0.0   11.0   11.9   10.8   21.6   0.48   27.4   14.7   20.6   23.0   14.7   20.6   23.0   86.4  400.5   0.00   0.00
