*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 144    42    41    42.0     0.0    35.9    0.00    3.22      6.6    44.2    25.0    10.9    3.92    2.29     3.5    1.6    0.0    2.67    1.13
 2015 145    43    42    45.5     0.1    37.0    3.71    3.26      6.6    48.1    25.6    11.4    3.98    2.31     3.5    1.6    0.0    2.85    1.22
 2015 146    44    43    46.7     0.7    35.9    3.69    3.06      7.3    49.0    24.8    11.1    3.85    2.09     3.4    1.6    0.6    3.14    1.29
 2015 147    45    44    49.2     2.1    34.9    3.69    3.02      7.7    51.6    24.1    10.8    3.81    2.07     3.4    1.6    0.4    3.28    1.35
 2015 148    46    45    51.8     3.8    34.1    3.64    3.00      7.7    54.5    23.5    10.6    3.79    2.05     3.4    1.6    0.0    3.35    1.41
 2015 149    47    46    54.0     5.4    33.3    3.61    2.97      7.7    57.1    23.0    10.3    3.76    2.03     3.4    1.6    0.0    3.58    1.49
 2015 150    48    47    56.2     7.3    32.4    3.60    2.94      7.7    59.8    22.3    10.1    3.73    2.01     3.3    1.6    0.0    3.81    1.56
 2015 151    49    48    57.4     9.7    31.4    3.60    2.90      7.7    61.4    21.6     9.8    3.68    1.98     3.3    1.5    0.0    4.25    1.63
 2015 152    50    49    58.4    12.3    30.2    3.60    2.85      7.7    62.5    20.7     9.5    3.63    1.94     3.2    1.5    0.0    4.36    1.70
 2015 153    51    50    60.5    15.1    28.9    3.61    2.79      8.2    64.7    19.8     9.1    3.57    1.90     3.2    1.5    0.5    4.77    1.75
 2015 154    52    51    62.3    17.9    27.7    3.61    2.74      8.2    67.3    19.0     8.8    3.51    1.86     3.1    1.5    0.0    5.25    1.82
 2015 155    53    52    63.4    20.8    25.7    3.61    2.67      8.2    69.8    17.4     8.3    3.45    1.82     3.1    1.4    0.0    6.61    1.88
 2015 156    54    53    63.0    23.6    23.4    3.58    2.55      8.6    70.5    15.5     7.8    3.35    1.73     3.0    1.4    0.4    8.11    1.93
 2015 157    55    54    64.9    26.8    22.3    3.59    2.48      9.2    72.0    14.8     7.5    3.28    1.68     2.9    1.4    0.5    8.30    1.97
 2015 158    56    55    66.9    30.1    21.3    3.59    2.43      9.2    74.2    14.1     7.2    3.21    1.64     2.8    1.4    0.0    8.43    2.03
 2015 159    57    56    68.8    33.2    20.4    3.59    2.37      9.2    76.3    13.4     6.9    3.15    1.60     2.8    1.3    0.0    8.57    2.09
 2015 160    58    57    69.2    35.4    19.1    3.54    2.25      9.6    76.6    12.5     6.6    3.04    1.52     2.7    1.3    0.4    9.00    2.13
 2015 161    59    58    70.7    38.3    18.2    3.53    2.20     10.2    77.5    11.8     6.3    2.97    1.48     2.6    1.3    0.6    9.08    2.16
 2015 162    60    59    72.5    41.5    17.2    3.54    2.13     10.7    79.0    11.2     6.1    2.89    1.44     2.6    1.3    0.5    9.17    2.20
 2015 163    61    60    72.6    43.2    16.3    3.48    1.98     10.7    79.2    10.5     5.8    2.74    1.31     2.5    1.2    0.0    9.32    2.23
 2015 164    62    61    70.3    45.2    12.5    3.45    1.76     10.7    79.9     7.3     5.1    2.56    1.22     2.4    1.2    0.0   12.33    2.26
 2015 165    63    62    69.3    47.3     9.8    3.43    1.62     10.7    81.0     5.1     4.7    2.43    1.19     2.3    1.2    0.0   14.42    2.29
 2015 166    64    63    68.9    49.2     7.9    3.43    1.50     10.7    82.0     3.6     4.3    2.32    1.16     2.2    1.2    0.0   15.90    2.31
 2015 167    65    64    68.5    50.5     6.6    3.43    1.40     10.7    82.6     2.5     4.0    2.22    1.13     2.2    1.2    0.0   16.94    2.34
 2015 168    66    65    68.2    51.6     5.6    3.44    1.31     10.7    83.0     1.8     3.8    2.13    1.11     2.1    1.2    0.0   17.67    2.39
 2015 169    67    66    67.8    52.3     4.9    3.44    1.23     10.7    83.2     1.3     3.6    2.04    1.08     2.1    1.1    0.0   18.19    2.44
 2015 170    68    67    67.5    52.9     4.3    3.44    1.17     10.7    83.2     0.9     3.4    1.96    1.06     2.0    1.1    0.0   18.56    2.48
 2015 171    69    68    67.3    53.2     4.0    3.44    1.13     10.7    83.2     0.7     3.3    1.91    1.05     2.0    1.1    0.0   18.82    2.53
 2015 172    70    69    67.1    53.4     3.7    3.44    1.11     10.7    83.2     0.5     3.2    1.88    1.04     2.0    1.1    0.0   19.01    2.57

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 126     1     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 127     2     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 128     3     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 129     4     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 130     5     4     0.6     0.0     0.6    0.00    3.41      0.2     0.0     0.5     0.1    3.84    2.40     0.0    1.6    0.0    0.00    0.01
 2015 131     6     5     0.7     0.0     0.7    0.00    3.43      0.2     0.0     0.5     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.03
 2015 132     7     6     0.8     0.0     0.8    0.00    3.46      0.2     0.1     0.6     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.04
 2015 133     8     7     0.9     0.0     0.9    0.00    3.48      0.2     0.2     0.7     0.2    3.85    2.41     0.0    1.6    0.0    0.00    0.05
 2015 134     9     8     1.0     0.0     1.0    0.00    3.50      0.2     0.4     0.8     0.2    3.85    2.42     0.0    1.6    0.0    0.00    0.06
 2015 135    10     9     1.1     0.0     1.1    0.00    3.48      0.3     0.4     0.9     0.2    3.82    2.39     0.0    1.6    0.0    0.00    0.07
 2015 136    11    10     1.2     0.0     1.2    0.00    3.48      0.3     0.6     1.0     0.2    3.84    2.41     0.0    1.6    0.0    0.00    0.08
 2015 137    12    11     1.4     0.0     1.4    0.00    3.46      0.3     0.8     1.1     0.3    3.84    2.41     0.0    1.6    0.0    0.00    0.09
 2015 138    13    12     1.6     0.0     1.6    0.00    3.48      0.3     1.0     1.3     0.3    3.85    2.42     0.0    1.6    0.0    0.00    0.10
 2015 139    14    13     1.9     0.0     1.9    0.00    3.46      0.3     1.2     1.6     0.3    3.81    2.39     0.0    1.6    0.1    0.01    0.11
 2015 140    15    14     2.2     0.0     2.2    0.00    3.45      0.4     1.5     1.8     0.4    3.79    2.37     0.0    1.6    0.0    0.01    0.12
 2015 141    16    15     2.6     0.0     2.6    0.00    3.50      0.4     1.9     2.2     0.4    3.84    2.40     0.0    1.6    0.0    0.01    0.13
 2015 142    17    16     2.9     0.0     2.9    0.00    3.36      0.6     2.1     2.4     0.5    3.69    2.31     0.0    1.5    0.2    0.02    0.14
 2015 143    18    17     3.4     0.0     3.4    0.00    3.36      0.7     2.4     2.8     0.5    3.68    2.30     0.0    1.5    0.1    0.03    0.14
 2015 144    19    18     4.0     0.0     4.0    0.00    3.47      0.7     3.2     3.4     0.6    3.79    2.38     0.0    1.6    0.0    0.03    0.16
 2015 145    20    19     4.4     0.0     4.4    0.00    3.49      0.7     3.9     3.7     0.7    3.82    2.40     0.0    1.6    0.0    0.03    0.17
 2015 146    21    20     4.6     0.0     4.6    0.00    3.51      0.7     4.4     3.9     0.7    3.83    2.41     0.0    1.6    0.0    0.03    0.19
 2015 147    22    21     5.0     0.0     5.0    0.00    3.48      0.9     4.8     4.2     0.8    3.80    2.38     0.0    1.6    0.2    0.04    0.21
 2015 148    23    22     5.8     0.0     5.8    0.00    3.51      0.9     5.7     4.9     0.9    3.83    2.40     0.0    1.6    0.0    0.04    0.24
 2015 149    24    23     6.3     0.0     6.3    0.00    3.42      1.2     6.2     5.3     1.0    3.73    2.34     0.0    1.6    0.2    0.19    0.25
 2015 150    25    24     7.0     0.0     7.0    0.00    3.50      1.2     7.3     5.9     1.1    3.81    2.40     0.0    1.6    0.0    0.55    0.27
 2015 151    26    25     8.1     0.0     8.1    0.00    3.52      1.2     8.5     6.8     1.2    3.83    2.41     0.0    1.6    0.0    0.65    0.30
 2015 152    27    26     9.0     0.0     9.0    0.00    3.43      1.5     9.3     7.5     1.5    3.77    2.35     0.0    1.6    0.3    0.67    0.31
 2015 153    28    27    10.4     0.0    10.4    0.00    3.44      1.5    10.8     8.6     1.8    3.79    2.38     0.0    1.6    0.0    0.67    0.34
 2015 154    29    28    12.0     0.0    12.0    0.00    3.45      1.5    12.6     9.8     2.2    3.83    2.41     0.0    1.6    0.0    0.67    0.36
 2015 155    30    29    13.0     0.0    13.0    0.00    3.45      1.5    14.3    10.5     2.5    3.84    2.42     0.0    1.6    0.0    0.67    0.39
 2015 156    31    30    13.5     0.0    13.5    0.00    3.42      1.8    15.2    10.9     2.6    3.80    2.40     0.0    1.6    0.2    0.70    0.42
 2015 157    32    31    15.4     0.0    15.4    0.00    3.43      1.8    17.4    12.4     3.1    3.83    2.42     0.0    1.6    0.0    0.70    0.46
 2015 158    33    32    17.5     0.0    17.5    0.00    3.46      1.8    19.7    13.9     3.6    3.89    2.44     0.0    1.6    0.0    0.79    0.50
 2015 159    34    33    19.2     0.0    19.2    0.00    3.50      1.8    22.0    15.1     4.1    3.96    2.47     0.0    1.6    0.0    1.14    0.54
 2015 160    35    34    19.5     0.0    19.5    0.00    3.46      2.2    23.1    15.2     4.3    3.94    2.43     0.0    1.6    0.3    1.78    0.58
 2015 161    36    35    21.5     0.0    21.5    0.00    3.44      2.2    25.5    16.6     4.9    3.93    2.42     0.0    1.6    0.0    1.78    0.63
 2015 162    37    36    23.8     0.0    23.8    0.00    3.46      2.2    28.2    18.2     5.6    3.99    2.42     0.0    1.6    0.0    1.94    0.70
 2015 163    38    37    25.1     0.0    25.0    0.00    3.36      2.8    29.5    18.9     6.1    3.93    2.31     3.5    1.5    0.4    2.25    0.76
 2015 164    39    38    27.3     0.0    26.8    0.00    3.41      2.8    32.8    20.0     6.8    4.02    2.35     3.5    1.6    0.0    2.73    0.83
 2015 165    40    39    29.9     0.0    28.7    0.00    3.42      2.8    36.0    21.2     7.5    4.07    2.36     3.5    1.6    0.0    2.87    0.90
 2015 166    41    40    32.6     0.0    30.4    0.00    3.44      2.8    39.2    22.2     8.1    4.12    2.37     3.5    1.6    0.0    3.00    0.98
 2015 167    42    41    33.8     0.0    30.4    0.00    3.27      3.3    40.1    22.1     8.2    4.00    2.19     3.5    1.6    0.5    3.18    1.04
 2015 168    43    42    36.4     0.0    31.3    0.00    3.26      3.3    42.9    22.7     8.7    4.00    2.20     3.5    1.6    0.0    3.26    1.12
 2015 169    44    43    39.5     0.1    32.5    3.64    3.31      3.3    46.6    23.3     9.1    4.05    2.26     3.5    1.6    0.0    3.41    1.20
 2015 170    45    44    40.7     0.6    31.6    3.62    3.14      4.0    47.4    22.7     8.9    3.94    2.07     3.5    1.6    0.5    3.68    1.25
 2015 171    46    45    42.6     1.3    31.0    3.58    3.11      4.1    49.8    22.2     8.7    3.91    2.05     3.4    1.5    0.1    3.87    1.30
 2015 172    47    46    44.9     2.4    30.3    3.58    3.09      4.1    52.4    21.7     8.6    3.88    2.03     3.4    1.5    0.1    4.07    1.34
 2015 173    48    47    46.9     3.7    29.5    3.57    3.06      4.1    54.8    21.2     8.4    3.85    2.01     3.4    1.5    0.0    4.32    1.39
 2015 174    49    48    47.9     5.5    28.7    3.58    2.87      4.9    55.4    20.6     8.2    3.71    1.83     3.3    1.5    0.6    4.65    1.43
 2015 175    50    49    49.4     7.6    27.9    3.58    2.84      5.3    57.1    19.9     7.9    3.67    1.81     3.3    1.5    0.5    5.10    1.47
 2015 176    51    50    51.3     9.7    27.0    3.57    2.80      5.4    59.5    19.3     7.7    3.63    1.78     3.3    1.5    0.0    5.41    1.53
 2015 177    52    51    52.7    11.9    26.2    3.57    2.69      6.1    60.2    18.7     7.5    3.54    1.69     3.2    1.4    0.7    5.49    1.57
 2015 178    53    52    54.4    14.0    25.3    3.57    2.66      6.5    61.9    18.0     7.3    3.50    1.67     3.2    1.4    0.4    5.77    1.60
 2015 179    54    53    55.8    16.2    24.5    3.56    2.62      6.6    63.8    17.4     7.1    3.46    1.64     3.1    1.4    0.1    6.19    1.64
 2015 180    55    54    57.4    18.6    23.6    3.56    2.58      6.7    65.9    16.8     6.8    3.41    1.62     3.1    1.4    0.1    6.61    1.67
 2015 181    56    55    58.2    21.0    22.7    3.56    2.45      7.5    66.3    16.1     6.6    3.29    1.50     3.0    1.4    0.8    6.99    1.71
 2015 182    57    56    59.9    23.5    21.8    3.56    2.40      8.3    67.4    15.4     6.3    3.23    1.47     3.0    1.3    0.8    7.26    1.74
 2015 183    58    57    61.5    26.2    20.8    3.56    2.35      8.8    69.0    14.7     6.1    3.18    1.45     2.9    1.3    0.4    7.61    1.78
 2015 184    59    58    62.8    28.9    19.9    3.57    2.25      9.7    69.6    14.1     5.9    3.07    1.37     2.8    1.3    0.9    7.75    1.81
 2015 185    60    59    64.5    31.6    19.1    3.57    2.21     10.5    70.8    13.4     5.7    3.02    1.35     2.8    1.3    0.8    8.03    1.84
 2015 186    61    60    66.1    34.2    18.3    3.57    2.17     10.7    72.3    12.9     5.4    2.97    1.33     2.7    1.3    0.3    8.18    1.87
 2015 187    62    61    67.6    36.8    17.6    3.57    2.13     10.8    73.9    12.3     5.3    2.91    1.31     2.7    1.3    0.1    8.25    1.90
 2015 188    63    62    68.5    38.9    16.8    3.57    2.09     10.8    74.8    11.8     5.1    2.86    1.28     2.6    1.2    0.0    8.32    1.95
 2015 189    64    63    68.7    40.0    16.2    3.56    2.06     10.8    75.0    11.3     4.9    2.82    1.27     2.6    1.2    0.0    8.38    2.00
 2015 190    65    64    70.1    42.5    15.5    3.56    2.00     10.8    76.5    10.8     4.7    2.74    1.24     2.5    1.2    0.0    8.45    2.03
 2015 191    66    65    67.8    44.4    11.8    3.53    1.78     10.8    77.2     7.6     4.2    2.57    1.14     2.4    1.2    0.0   11.51    2.06
 2015 192    67    66    66.6    46.3     9.1    3.50    1.63     10.8    78.1     5.3     3.8    2.44    1.11     2.3    1.2    0.0   13.66    2.09
 2015 193    68    67    66.1    48.0     7.2    3.50    1.51     10.8    79.2     3.8     3.5    2.34    1.09     2.3    1.2    0.0   15.17    2.15
 2015 194    69    68    65.3    48.9     5.9    3.48    1.37     10.8    79.3     2.7     3.2    2.22    1.04     2.2    1.1    0.0   16.24    2.17
 2015 195    70    69    65.0    49.9     4.9    3.48    1.28     10.8    79.8     1.9     3.0    2.13    1.02     2.2    1.1    0.0   17.00    2.23
 2015 196    71    70    64.7    50.7     4.2    3.48    1.20     10.8    80.1     1.3     2.8    2.05    1.00     2.1    1.1    0.0   17.53    2.28
 2015 197    72    71    64.5    51.2     3.7    3.48    1.14     10.8    80.2     1.0     2.7    1.98    0.99     2.1    1.1    0.0   17.92    2.33
 2015 198    73    72    64.2    51.6     3.3    3.48    1.09     10.8    80.2     0.7     2.6    1.92    0.98     2.0    1.1    0.0   18.19    2.38
 2015 199    74    73    64.1    51.8     3.0    3.48    1.05     10.8    80.2     0.5     2.5    1.88    0.97     2.0    1.1    0.0   18.39    2.43

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 148     1     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 149     2     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 150     3     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 151     4     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 152     5     4     0.6     0.0     0.6    0.00    3.41      0.2     0.0     0.5     0.1    3.84    2.40     0.0    1.6    0.0    0.00    0.01
 2015 153     6     5     0.7     0.0     0.7    0.00    3.44      0.2     0.1     0.6     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.03
 2015 154     7     6     0.8     0.0     0.8    0.00    3.47      0.2     0.2     0.7     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.04
 2015 155     8     7     0.9     0.0     0.9    0.00    3.45      0.2     0.3     0.8     0.2    3.80    2.38     0.0    1.6    0.0    0.00    0.05
 2015 156     9     8     1.1     0.0     1.1    0.00    3.50      0.2     0.5     0.9     0.2    3.84    2.40     0.0    1.6    0.0    0.00    0.06
 2015 157    10     9     1.2     0.0     1.2    0.00    3.50      0.2     0.6     1.0     0.2    3.84    2.40     0.0    1.6    0.0    0.00    0.07
 2015 158    11    10     1.4     0.0     1.4    0.00    3.48      0.2     0.8     1.1     0.2    3.85    2.41     0.0    1.6    0.0    0.00    0.09
 2015 159    12    11     1.6     0.0     1.6    0.00    3.49      0.2     1.1     1.3     0.3    3.85    2.41     0.0    1.6    0.0    0.00    0.10
 2015 160    13    12     1.8     0.0     1.8    0.00    3.47      0.3     1.2     1.5     0.3    3.82    2.39     0.0    1.6    0.1    0.00    0.11
 2015 161    14    13     2.0     0.0     2.0    0.00    3.50      0.3     1.5     1.7     0.3    3.84    2.40     0.0    1.6    0.0    0.00    0.12
 2015 162    15    14     2.4     0.0     2.4    0.00    3.51      0.4     1.8     2.0     0.4    3.85    2.41     0.0    1.6    0.0    0.00    0.13
 2015 163    16    15     2.8     0.0     2.8    0.00    3.52      0.4     2.3     2.4     0.4    3.85    2.41     0.0    1.6    0.0    0.00    0.15
 2015 164    17    16     3.0     0.0     3.0    0.00    3.53      0.4     2.7     2.6     0.5    3.85    2.41     0.0    1.6    0.0    0.02    0.16
 2015 165    18    17     3.2     0.0     3.2    0.00    3.50      0.4     2.9     2.7     0.5    3.82    2.39     0.0    1.6    0.1    0.03    0.17
 2015 166    19    18     3.7     0.0     3.7    0.00    3.53      0.4     3.5     3.1     0.6    3.84    2.41     0.0    1.6    0.0    0.03    0.19
 2015 167    20    19     4.3     0.0     4.3    0.00    3.53      0.4     4.2     3.7     0.6    3.85    2.41     0.0    1.6    0.0    0.03    0.21
 2015 168    21    20     5.0     0.0     5.0    0.00    3.54      0.5     4.9     4.2     0.7    3.85    2.41     0.0    1.6    0.0    0.09    0.22
 2015 169    22    21     5.6     0.0     5.6    0.00    3.54      0.5     5.8     4.7     0.8    3.85    2.42     0.0    1.6    0.0    0.29    0.24
 2015 170    23    22     6.1     0.0     6.1    0.00    3.54      0.5     6.8     5.2     0.9    3.86    2.42     0.0    1.6    0.0    0.29    0.26
 2015 171    24    23     6.4     0.0     6.4    0.00    3.55      0.5     7.4     5.4     0.9    3.86    2.42     0.0    1.6    0.0    0.29    0.28
 2015 172    25    24     6.5     0.0     6.5    0.00    3.55      0.5     7.9     5.6     1.0    3.86    2.42     0.0    1.6    0.0    0.29    0.30
 2015 173    26    25     6.9     0.0     6.9    0.00    3.53      0.5     8.7     5.9     1.0    3.84    2.41     0.0    1.6    0.0    0.30    0.32
 2015 174    27    26     8.0     0.0     8.0    0.00    3.54      0.5     9.9     6.8     1.1    3.84    2.41     0.0    1.6    0.0    0.33    0.35
 2015 175    28    27     8.6     0.0     8.6    0.00    3.53      0.5    11.0     7.3     1.3    3.84    2.41     0.0    1.6    0.0    0.77    0.37
