simulacao,EUCLIDIANA_GERAL,EUCLIDIANA_ADAP,EUCLIDIANA_PD1P,EUCLIDIANA_PDFP,EUCLIDIANA_MDAP,EUCLIDIANA_HWAM,EUCLIDIANA_PWAM,EUCLIDIANA_HWUM,EUCLIDIANA_H#AM,EUCLIDIANA_H#UM,EUCLIDIANA_THAM,EUCLIDIANA_LAIX,EUCLIDIANA_HIAM
IP100_IT100_ei_exp,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_ei_gauss,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_ei_matern3_2,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_ei_matern5_2,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_poi_exp,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_poi_gauss,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_poi_matern3_2,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_poi_matern5_2,6.450375538114701,0.14280406506141635,0.17167961123843475,0.22568471243793325,0.17228443580116864,0.2210559848988909,5.909703352724289,0.21982161285566848,0.28756850162207326,0.1288954908981765,0.06565575809454749,0.2124125387119867,0.5346835529749976
IP100_IT100_ucb_exp,5.186174778765493,0.22960154482135353,0.23284547152194213,0.3290917448342795,0.28596223968884205,0.33898936108773464,4.583597277266604,0.11593306796402769,0.34500217424928703,0.06010429216890899,0.031845114443184185,0.5371122233089303,0.4701205624047139
IP100_IT100_ucb_gauss,4.9714212896586805,0.1986858469386717,0.18675777381659736,0.2541312447664191,0.2256866452385454,0.3435471289391358,4.376910291371342,0.21964705882352936,0.4492051914486462,0.06010429216890899,0.06654246279257703,0.4441460507858149,0.5234483222558959
