simulacao,EUCLIDIANA_GERAL,EUCLIDIANA_ADAP,EUCLIDIANA_PD1P,EUCLIDIANA_PDFP,EUCLIDIANA_MDAP,EUCLIDIANA_HWAM,EUCLIDIANA_PWAM,EUCLIDIANA_HWUM,EUCLIDIANA_H#AM,EUCLIDIANA_H#UM,EUCLIDIANA_THAM,EUCLIDIANA_LAIX,EUCLIDIANA_HIAM
IP100_IT100_ei_exp,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_ei_gauss,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_ei_matern3_2,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_ei_matern5_2,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_poi_exp,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_poi_gauss,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_poi_matern3_2,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_poi_matern5_2,0.9064974231208102,0.14859169199594732,0.1285273368606702,0.18621794871794872,0.10029726266254911,0.3255677603808445,0.22372988039885566,0.34879170218812156,0.11142897117315663,0.16723247858426402,0.07452690947204746,0.12445539065891957,0.45498023715415026
IP100_IT100_ucb_exp,1.2065530093401933,0.24204660587639312,0.23897707231040566,0.3379464285714286,0.25558549190143065,0.29068784927429786,0.33588801426914583,0.3901256038647342,0.3864272262934747,0.07584906961263604,0.07294415239314038,0.4708539454128318,0.41926043039086514
IP100_IT100_ucb_gauss,1.108118594296073,0.16129685916919959,0.13271604938271606,0.2787431318681319,0.20067330518266424,0.2999094428416858,0.3523956734116825,0.36902529127593064,0.40844315968061573,0.07584906961263604,0.07330845228118443,0.319430365473558,0.4382225150051237
IP100_IT100_ucb_matern3_2,0.9838533331218448,0.15706180344478216,0.140652557319224,0.26245421245421247,0.18810266591038002,0.22036166714905034,0.2748511565389213,0.3280562659846547,0.2621569283716996,0.07584906961263604,0.07289727176336304,0.3739798837460495,0.38737681159420295
IP100_IT100_ucb_matern5_2,0.772525135473567,0.14435663627152986,0.11596119929453264,0.20250686813186813,0.14651477910127939,0.2318972823645721,0.17664861588965497,0.1867610116510372,0.0797580136961184,0.07584906961263604,0.04874321883371465,0.2817443821622129,0.4204791392182697
IP100_IT300_ei_exp,1.0674176607734194,0.1721985815602837,0.19885361552028216,0.30536858974358977,0.22581458372723262,0.25567023189686744,0.3104946213345369,0.3860500142085819,0.3453994671678591,0.07584906961263604,0.07342585422038056,0.25340836100608555,0.40009178743961354
IP100_IT300_ei_gauss,1.1550732978325968,0.19548125633232016,0.26521164021164023,0.3216575091575092,0.24301485262914646,0.4184839044652129,0.4331075062601366,0.1969616368286445,0.3212907384248254,0.07584906961263604,0.07406124728178567,0.42533594394955115,0.4332469623773972
IP100_IT300_ei_matern3_2,1.0408786291822256,0.20257345491388046,0.1849647266313933,0.2787431318681319,0.20936797546270036,0.23383098599220095,0.2942465876683979,0.33680704745666384,0.332191743956368,0.07584906961263604,0.07389482951266757,0.32296693092333556,0.39022485726833556
IP100_IT300_ei_matern5_2,0.9215136715491526,0.1594934143870314,0.15277777777777776,0.25732600732600736,0.18422669691813198,0.2649057653146438,0.2007763996859322,0.13563739698778063,0.05559501242761126,0.41354399900300276,0.061778728379226426,0.27563376980049936,0.4059840433318693
IP100_IT300_poi_exp,0.9201238096956419,0.14859169199594732,0.12433862433862435,0.18621794871794872,0.0962322220121426,0.31437129848344797,0.2322455607761996,0.33872520602443873,0.17686508249054103,0.1887358652874871,0.0715625746814079,0.12195905881878345,0.4702905870297174
IP100_IT300_poi_gauss,1.0618976454509284,0.20257345491388046,0.22508818342151674,0.3216575091575092,0.2383852229995168,0.24351728878598036,0.293311837926511,0.3758334754191532,0.32454435348553906,0.07636403814007743,0.07362160417499157,0.2205586789895481,0.40519748206704725
IP100_IT300_poi_matern3_2,0.9106215906569259,0.14859169199594732,0.13646384479717813,0.18621794871794872,0.10029726266254911,0.29623780295509267,0.22363493457158645,0.3498147200909349,0.16042233158386035,0.1887358652874871,0.07236589465655134,0.1232915502529638,0.4613828136436832
