*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                   0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2015 113    11    10    2.0      0  0.117     33     11      0     22     44     44      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.80   0.00   0.00      0      0  352.1   0.10   0.07    4.2   0.40    0.08    0.08    0.04    0.00    0.00    0.00    0.00    0.00    0.00        1       4
 2015 114    12    11    2.3      0  0.146     40     13      0     23     53     53      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.78   0.00   0.00      0      0  366.6   0.11   0.07    4.3   0.42    0.08    0.08    0.04    0.00    0.00    0.00    0.00    0.00    0.00        1       4
 2015 115    13    12    2.6      0  0.179     48     15      0     24     63     63      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.78   0.00   0.00      0      0  373.3   0.12   0.08    4.2   0.44    0.09    0.08    0.05    0.01    0.00    0.00    0.00    0.00    0.00        2       5
 2015 116    14    13    2.9      0  0.218     57     18      0     25     75     75      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.76   0.00   0.00      0      0  381.7   0.13   0.09    4.3   0.46    0.09    0.08    0.05    0.01    0.00    0.00    0.00    0.00    0.00        2       5
 2015 117    15    14    3.1      0  0.234     65     20      0     31     84     84      0     0.0  0.000      0      0  0.000  0.326  0.000  0.000  0.000  0.000  0.000    3.79   0.00   0.00      0      0  362.2   0.13   0.10    4.5   0.48    0.11    0.10    0.06    0.01    0.00    0.00    0.00    0.00    0.00        3       6
 2015 118    16    15    3.3      0  0.273     77     23      0     34    100    100      0     0.0  0.000      0      0  0.000  0.000  0.091  0.000  0.000  0.000  0.000    3.55   0.00   0.00      0      0  356.5   0.14   0.11    5.2   0.50    0.12    0.10    0.07    0.02    0.00    0.00    0.00    0.00    0.00        4       6
 2015 119    17    16    3.6      0  0.305     89     26      0     38    115    115      0     0.0  0.000      0      0  0.000  0.132  0.000  0.000  0.000  0.000  0.000    3.60   0.00   0.00      0      0  343.5   0.15   0.12    5.3   0.50    0.13    0.11    0.07    0.02    0.00    0.00    0.00    0.00    0.00        5       7
 2015 120    18    17    3.6      0  0.305     89     26      0     38    115    115      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.60   0.00   0.00      0      0  343.5   0.15   0.12    5.1   0.50    0.13    0.11    0.07    0.02    0.00    0.00    0.00    0.00    0.00        5       7
 2015 121    19    18    3.8      0  0.356    104     31      0     39    135    135      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.60   0.00   0.00      0      0  341.7   0.15   0.13    5.1   0.50    0.13    0.12    0.08    0.02    0.01    0.00    0.00    0.00    0.00        5       8
 2015 122    20    19    4.0      0  0.395    118     35      0     44    153    153      0     0.0  0.000      0      0  0.000  0.183  0.000  0.000  0.000  0.000  0.000    3.78   0.00   0.00      0      0  334.5   0.16   0.14    5.0   0.50    0.15    0.13    0.08    0.03    0.01    0.00    0.00    0.00    0.00        5       9
 2015 123    21    20    4.2      0  0.421    130     38      0     53    168    168      0     0.0  0.000      0      0  0.054  0.369  0.000  0.000  0.000  0.000  0.000    3.82   0.00   0.00      0      0  325.2   0.16   0.14    5.0   0.50    0.18    0.15    0.10    0.04    0.01    0.00    0.00    0.00    0.00        5      10
 2015 124    22    21    4.4      0  0.502    148     44      0     54    191    191      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.78   0.00   0.00      0      0  339.8   0.17   0.16    5.1   0.50    0.18    0.16    0.10    0.04    0.01    0.00    0.00    0.00    0.00        7      11
 2015 125    23    22    4.7      0  0.608    174     52      0     56    226    226      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.57   0.00   0.00      0      0  348.4   0.18   0.17    6.0   0.50    0.19    0.16    0.11    0.04    0.01    0.00    0.00    0.00    0.00        8      12
 2015 126    24    23    4.9      0  0.705    196     58      0     61    255    255      0     0.0  0.000      0      0  0.000  0.000  0.120  0.000  0.000  0.000  0.000    3.38   0.00   0.00      0      0  358.6   0.20   0.19    7.0   0.50    0.21    0.17    0.12    0.05    0.01    0.00    0.00    0.00    0.00       10      13
 2015 127    25    24    5.2      0  0.806    224     74      0     66    298    298      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.26   0.00   0.00      0      0  359.7   0.21   0.21    8.2   0.50    0.22    0.18    0.13    0.05    0.01    0.00    0.00    0.00    0.00       14      14
 2015 128    26    25    5.5      0  0.929    254     91      0     70    345    345      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.30   0.00   0.00      0      0  365.5   0.23   0.22    8.5   0.50    0.23    0.19    0.14    0.05    0.02    0.00    0.00    0.00    0.00       16      15
 2015 129    27    26    5.7      0  1.058    286    108      0     74    395    395      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.49   0.00   0.00      0      0  369.4   0.25   0.24    8.6   0.50    0.24    0.20    0.14    0.06    0.02    0.00    0.00    0.00    0.00       16      17
 2015 130    28    27    5.9      0  1.096    302    116      0     95    419    419      0     0.0  0.000      0      0  0.177  0.452  0.000  0.000  0.000  0.000  0.000    3.66   0.00   0.00      0      0  362.4   0.26   0.25    8.6   0.50    0.31    0.25    0.18    0.08    0.02    0.00    0.00    0.00    0.00       16      18
 2015 131    29    28    6.1      0  1.183    316    127      0     97    443    443      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.036    3.63   0.00   0.00      0      0  374.1   0.27   0.26   10.1   0.50    0.31    0.26    0.18    0.08    0.02    0.00    0.00    0.00    0.00       27      20
 2015 132    30    29    6.3      0  1.311    342    144      0    101    486    486      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.65   0.00   0.00      0      0  383.2   0.29   0.28   10.5   0.50    0.33    0.27    0.19    0.08    0.03    0.00    0.00    0.00    0.00       36      22
 2015 133    31    30    6.6      0  1.442    372    165      0    107    537    537      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.67   0.00   0.00      0      0  387.7   0.31   0.29   10.9   0.50    0.35    0.28    0.20    0.09    0.03    0.00    0.00    0.00    0.00       47      23
 2015 134    32    31    6.8      0  1.481    392    183      0    125    575    575      0     0.0  0.000      0      0  0.000  0.000  0.197  0.000  0.000  0.000  0.000    3.51   0.00   0.00      0      0  377.7   0.33   0.31   12.7   0.50    0.41    0.33    0.24    0.11    0.03    0.00    0.00    0.00    0.00       73      25
 2015 135    33    32    7.0      0  1.609    429    208      0    138    637    637      0     0.0  0.000      0      0  0.000  0.000  0.102  0.000  0.000  0.000  0.000    3.37   0.00   0.00      0      0  375.5   0.35   0.32   14.9   0.50    0.45    0.36    0.26    0.12    0.04    0.00    0.00    0.00    0.00       77      27
 2015 136    34    33    7.3      0  1.735    457    234      0    143    691    691      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.42   0.00   0.00      0      0  379.5   0.37   0.34   15.3   0.50    0.47    0.38    0.28    0.13    0.04    0.00    0.00    0.00    0.00       90      29
 2015 137    35    34    7.5      0  1.863    493    266      0    150    759    759      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.57   0.00   0.00      0      0  378.1   0.39   0.35   15.6   0.50    0.49    0.39    0.29    0.13    0.04    0.00    0.00    0.00    0.00      107      32
 2015 138    36    35    7.8      0  1.968    519    297      0    156    815    815      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.85   0.00   0.00      0      0  379.6   0.41   0.37   15.8   0.50    0.51    0.41    0.30    0.14    0.04    0.00    0.00    0.00    0.00      135      35
 2015 139    37    36    8.0      0  2.006    528    323      0    179    851    851      0     0.0  0.000      0      0  0.000  0.159  0.000  0.000  0.000  0.000  0.000    3.95   0.00   0.00      0      0  380.3   0.44   0.38   16.4   0.50    0.58    0.47    0.34    0.16    0.05    0.00    0.00    0.00    0.00      176      38
 2015 140    38    37    8.3      0  2.188    572    367      0    186    939    939      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.95   0.00   0.00      0      0  382.4   0.46   0.40   16.8   0.50    0.60    0.49    0.36    0.17    0.05    0.00    0.00    0.00    0.00      182      42
 2015 141    39    38    8.5      0  2.340    613    414      0    194   1027   1027      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.99   0.00   0.00      0      0  381.6   0.48   0.41   17.2   0.50    0.63    0.51    0.37    0.18    0.06    0.00    0.00    0.00    0.00      196      46
 2015 142    40    39    8.8      0  2.492    650    467      0    204   1116   1116      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.91   0.00   0.00      0      0  383.6   0.51   0.43   20.1   0.50    0.66    0.53    0.39    0.19    0.06    0.00    0.00    0.00    0.00      220      49
 2015 143    41    40    9.1      1  2.687    691    519      0    211   1210   1210      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.93   0.00   0.00      0      0  389.0   0.54   0.44   20.4   0.50    0.69    0.55    0.41    0.19    0.06    0.00    0.00    0.00    0.00      232      53
 2015 144    42    41    9.3      1  2.866    734    576      0    220   1310   1310      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.99   0.00   0.00      0      0  390.7   0.57   0.45   20.9   0.50    0.71    0.57    0.42    0.20    0.07    0.00    0.00    0.00    0.00      247      58
 2015 145    43    42    9.6      1  3.018    776    639      0    229   1414   1414      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.04   0.00   0.00      0      0  389.1   0.60   0.45   21.4   0.50    0.74    0.60    0.44    0.21    0.07    0.00    0.00    0.00    0.00      268      63
 2015 146    44    43    9.8      3  3.018    794    686      0    286   1481   1481      0     0.0  0.000      0      0  0.000  0.312  0.000  0.000  0.000  0.000  0.000    3.99   0.00   0.00      0      0  379.9   0.62   0.45   24.2   0.50    0.93    0.74    0.55    0.27    0.09    0.00    0.00    0.00    0.00      299      68
 2015 147    45    44   10.1      3  3.189    843    749      0    293   1593   1600      0     0.0  0.000      8     20  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.00   0.00   0.00      0      8  378.2   0.65   0.45   23.2   0.50    0.95    0.76    0.57    0.27    0.09    0.00    0.00    0.00    0.00      304      75
 2015 148    46    45   10.3      3  3.254    871    796      0    298   1667   1694      0     0.0  0.000     27     55  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.07   0.00   0.02      0     27  373.5   0.68   0.45   22.3   0.50    0.96    0.77    0.58    0.28    0.09    0.00    0.00    0.00    0.00      321      80
 2015 149    47    46   10.6      3  3.289    893    837      0    302   1730   1785      0     0.0  0.000     55     83  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.12   0.00   0.03      0     55  368.3   0.70   0.45   21.4   0.50    0.98    0.78    0.58    0.28    0.09    0.00    0.00    0.00    0.00      339      86
 2015 150    48    47   10.8      3  3.322    915    878      0    305   1793   1885      0     0.0  0.000     92    108  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.16   0.00   0.05      0     92  363.1   0.72   0.45   20.5   0.50    0.99    0.79    0.59    0.29    0.09    0.00    0.00    0.00    0.00      355      91
 2015 151    49    48   10.9      3  3.311    925    905      0    332   1830   1968      0     0.0  0.000    138    136  0.000  0.325  0.000  0.000  0.000  0.000  0.000    4.19   0.00   0.07      0    138  358.0   0.73   0.45   19.7   0.50    1.07    0.86    0.64    0.31    0.10    0.00    0.00    0.00    0.00      371      97
 2015 152    50    49   11.1      5  3.263    921    919      0    356   1840   2036      0     0.0  0.000    196    168  0.138  0.426  0.000  0.000  0.000  0.000  0.000    4.16   0.00   0.10      0    196  354.3   0.74   0.45   18.9   0.50    1.15    0.93    0.69    0.34    0.11    0.00    0.00    0.00    0.00      389     104
 2015 153    51    50   11.3      5  3.301    939    949      0    355   1888   2152     81     0.0  0.000    264    197  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.16   0.00   0.12      0    264  351.7   0.76   0.45   18.2   0.50    1.15    0.92    0.69    0.34    0.11    0.00    0.00    0.00    0.00      401     112
 2015 154    52    51   11.6      5  3.330    949    963      8    351   1913   2261    224     3.4  0.003    349    230  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.18   2.18   0.15      0    349  350.7   0.79   0.45   17.4   0.50    1.14    0.91    0.68    0.33    0.11    0.00    0.00    0.00    0.00      412     119
 2015 155    53    52   11.9      5  3.299    942    967     28    346   1910   2369    336     8.4  0.012    459    261  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.18   6.17   0.19      0    459  350.0   0.82   0.45   16.7   0.50    1.12    0.90    0.67    0.33    0.11    0.00    0.00    0.00    0.00      434     126
 2015 156    54    53   12.1      5  3.179    920    994     59    339   1914   2465    563    10.6  0.024    551    294  0.000  0.111  0.000  0.000  0.000  0.000  0.000    4.09  10.79   0.22      0    551  345.4   0.84   0.45   19.5   0.50    1.10    0.88    0.66    0.32    0.11    0.00    0.00    0.00    0.00      482     132
 2015 157    55    54   12.3      5  3.127    903    984    112    333   1888   2571    699    16.0  0.043    684    335  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.05  16.32   0.27      0    684  346.1   0.87   0.45   22.6   0.50    1.08    0.87    0.65    0.32    0.10    0.00    0.00    0.00    0.00      500     138
 2015 158    56    55   12.3      5  3.072    886    974    177    326   1860   2679    837    21.1  0.066    819    371  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.02  21.57   0.31      0    819  346.9   0.89   0.45   22.6   0.50    1.06    0.85    0.63    0.31    0.10    0.00    0.00    0.00    0.00      516     145
 2015 159    57    56   12.3      5  3.017    868    964    253    320   1832   2783   1001    25.3  0.091    951    407  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.98  26.59   0.34      0    951  347.6   0.91   0.45   23.8   0.50    1.04    0.84    0.62    0.30    0.10    0.00    0.00    0.00    0.00      534     150
 2015 160    58    57   12.3      5  2.959    864   1000    343    313   1864   2902   1114    30.8  0.118   1038    432  0.000  0.093  0.011  0.000  0.000  0.000  0.000    3.87  33.08   0.36      0   1038  342.6   0.93   0.45   27.1   0.50    1.02    0.82    0.61    0.30    0.10    0.00    0.00    0.00    0.00      561     156
 2015 161    59    58   12.3      5  2.897    844    988    445    307   1831   2992   1115    39.9  0.149   1161    430  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.82  38.37   0.39      0   1161  343.5   0.96   0.45   30.8   0.50    1.01    0.81    0.60    0.29    0.10    0.00    0.00    0.00    0.00      576     162
 2015 162    60    59   12.3      5  2.830    822    975    548    301   1797   3083   1152    47.6  0.178   1287    426  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.76  42.61   0.42      0   1287  344.4   0.98   0.45   33.3   0.50    0.99    0.79    0.59    0.29    0.09    0.00    0.00    0.00    0.00      605     167
 2015 163    61    60   12.3      5  2.761    806    981    657    295   1787   3187   1170    56.1  0.206   1400    428  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.67  46.90   0.44      0   1400  342.7   0.98   0.45   37.3   0.50    0.97    0.78    0.58    0.28    0.09    0.00    0.00    0.00    0.00      629     173
 2015 164    62    61   12.3      5  2.695    785    971    763    289   1756   3278   1203    63.5  0.233   1523    435  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.61  50.13   0.46      0   1523  343.4   0.98   0.45   41.7   0.50    0.95    0.76    0.57    0.28    0.09    0.00    0.00    0.00    0.00      656     178
 2015 165    63    62   12.3      5  2.631    764    958    872    283   1722   3360   1263    69.0  0.260   1638    447  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.55  53.23   0.49      0   1638  344.5   0.98   0.45   41.9   0.50    0.93    0.75    0.56    0.27    0.09    0.00    0.00    0.00    0.00      688     184
 2015 166    64    63   12.3      5  2.565    742    944    988    277   1686   3443   1320    74.8  0.287   1756    455  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.48  56.27   0.51      0   1756  345.7   0.98   0.45   41.9   0.50    0.92    0.74    0.55    0.27    0.09    0.00    0.00    0.00    0.00      720     189
 2015 167    65    64   12.3      5  2.502    721    932   1109    272   1653   3534   1330    83.3  0.314   1881    460  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.41  58.95   0.53      0   1881  346.9   0.98   0.45   41.9   0.50    0.90    0.72    0.54    0.26    0.09    0.00    0.00    0.00    0.00      738     194
 2015 168    66    65   12.3      5  2.437    700    919   1232    266   1619   3623   1330    92.6  0.340   2004    456  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.34  61.49   0.55      0   2004  348.1   0.98   0.45   41.9   0.50    0.88    0.71    0.53    0.26    0.08    0.00    0.00    0.00    0.00      754     199
 2015 169    67    66   12.3      5  2.375    680    906   1354    261   1586   3712   1341   101.0  0.365   2125    436  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.26  63.72   0.57      0   2125  349.4   0.98   0.45   41.9   0.50    0.87    0.69    0.52    0.25    0.08    0.00    0.00    0.00    0.00      773     204
 2015 170    68    67   12.3      5  2.317    661    895   1478    256   1555   3801   1351   109.4  0.389   2246    430  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.19  65.84   0.59      0   2246  350.6   0.98   0.45   41.9   0.50    0.85    0.68    0.51    0.25    0.08    0.00    0.00    0.00    0.00      790     209
 2015 171    69    68   12.3      5  2.268    645    885   1596    251   1530   3888   1351   118.1  0.410   2358    412  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.12  67.68   0.61      0   2358  351.6   0.98   0.45   41.9   0.50    0.84    0.67    0.50    0.24    0.08    0.00    0.00    0.00    0.00      802     213
 2015 172    70    69   12.3      5  2.217    630    878   1714    247   1508   3979   1351   126.9  0.431   2471    378  0.026  0.350  0.000  0.000  0.000  0.000  0.000    3.05  69.35   0.62      0   2471  352.2   0.98   0.45   41.7   0.50    0.82    0.66    0.49    0.24    0.08    0.00    0.00    0.00    0.00      814     217
 2015 173    71    70   12.3      5  2.170    614    868   1830    243   1483   4065   1351   135.5  0.450   2583    378  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.98  70.87   0.64      0   2583  353.4   0.98   0.45   41.8   0.50    0.81    0.65    0.48    0.24    0.08    0.00    0.00    0.00    0.00      825     221
 2015 174    72    71   12.3      5  2.122    598    858   1951    238   1456   4155   1351   144.4  0.469   2699    347  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.91  72.29   0.65      0   2699  354.7   0.98   0.45   41.8   0.50    0.80    0.64    0.48    0.23    0.08    0.00    0.00    0.00    0.00      836     225
 2015 175    73    72   12.3      5  2.078    584    849   2059    234   1433   4236   1351   152.4  0.486   2803    333  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.84  73.48   0.66      0   2803  355.9   0.98   0.45   41.9   0.50    0.78    0.63    0.47    0.23    0.08    0.00    0.00    0.00    0.00      846     229
 2015 176    74    73   12.3      5  2.028    568    841   2163    230   1409   4311   1351   160.1  0.502   2902    307  0.075  0.383  0.000  0.000  0.000  0.000  0.000    2.77  74.53   0.67      0   2902  356.9   0.98   0.45   41.6   0.50    0.77    0.62    0.46    0.22    0.07    0.00    0.00    0.00    0.00      858     234
 2015 177    75    74   12.3      5  1.987    555    834   2248    227   1389   4372   1351   166.4  0.514   2983    292  0.203  0.468  0.000  0.000  0.000  0.000  0.000    2.70  75.36   0.68      0   2983  357.8   0.98   0.45   41.1   0.50    0.76    0.61    0.45    0.22    0.07    0.00    0.00    0.00    0.00      868     238
 2015 178    76    75   12.3      5  1.953    544    826   2347    223   1370   4449   1351   173.7  0.528   3079    292  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.64  76.24   0.69      0   3079  359.0   0.98   0.45   41.2   0.50    0.75    0.60    0.45    0.22    0.07    0.00    0.00    0.00    0.00      875     241
 2015 179    77    76   12.3      5  1.921    535    822   2439    220   1357   4524   1351   180.5  0.539   3167    292  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.57  77.00   0.70      0   3167  359.4   0.98   0.45   41.2   0.50    0.74    0.59    0.44    0.21    0.07    0.00    0.00    0.00    0.00      883     244
 2015 180    78    77   12.3      5  1.867    519    817   2532    217   1337   4594   1351   187.4  0.551   3257    292  0.000  0.146  0.000  0.000  0.000  0.000  0.000    2.51  77.73   0.71      0   3257  359.4   0.98   0.45   41.3   0.50    0.73    0.59    0.44    0.21    0.07    0.00    0.00    0.00    0.00      898     248
 2015 181    79    78   12.3      5  1.775    496    817   2595    214   1313   4630   1353   191.8  0.560   3317    292  0.250  0.500  0.000  0.000  0.000  0.000  0.000    2.42  78.22   0.72      0   3317  358.1   0.98   0.45   40.7   0.50    0.72    0.58    0.43    0.21    0.07    0.00    0.00    0.00    0.00      927     252
 2015 182    80    79   12.3      5  1.741    488    819   2625    224   1307   4650   1353   194.0  0.564   3344    292  0.471  0.647  0.000  0.000  0.000  0.000  0.000    2.36  78.49   0.72      0   3344  357.1   0.98   0.45   39.2   0.50    0.75    0.60    0.45    0.22    0.07    0.00    0.00    0.00    0.00      935     257
 2015 183    81    80   12.3      5  1.714    480    819   2645    231   1299   4661   1353   195.5  0.568   3362    292  0.572  0.715  0.000  0.000  0.000  0.000  0.000    2.30  78.68   0.72      0   3362  356.8   0.98   0.45   37.7   0.50    0.77    0.62    0.46    0.23    0.07    0.00    0.00    0.00    0.00      941     262
 2015 184    82    81   12.3      7  1.699    477    822   2645    244   1299   4660   1353   195.6  0.568   3360    292  0.647  0.765  0.000  0.000  0.000  0.000  0.000    2.27  78.72   0.72      0   3360  356.0   0.98   0.45   36.1   0.50    0.81    0.65    0.49    0.24    0.08    0.00    0.00    0.00    0.00      945     268
 2015 185    83    82   12.3      7  1.270    357    788   2645    253   1145   4504   1353   195.6  0.587   3360    292  0.699  0.800  0.000  0.000  0.000  0.000  0.000    2.24  78.74   0.75      0   3360  356.1   0.98   0.45   34.7   0.50    0.84    0.67    0.50    0.25    0.08    0.00    0.00    0.00    0.00     1100     273
 2015 186    84    83   12.3      7  0.950    267    763   2645    260   1031   4390   1353   195.6  0.603   3359    292  0.606  0.737  0.000  0.000  0.000  0.000  0.000    2.22  78.76   0.77      0   3359  355.4   0.98   0.45   33.3   0.50    0.86    0.69    0.52    0.25    0.08    0.00    0.00    0.00    0.00     1216     279
 2015 187    85    84   12.3      7  0.711    201    747   2646    265    948   4306   1353   195.6  0.614   3358    292  0.465  0.644  0.000  0.000  0.000  0.000  0.000    2.20  78.79   0.78      0   3358  353.1   0.98   0.45   32.0   0.50    0.88    0.71    0.53    0.26    0.09    0.00    0.00    0.00    0.00     1303     285
 2015 188    86    85   12.3      7  0.531    155    742   2646    264    897   4254   1353   195.6  0.622   3357    292  0.000  0.175  0.000  0.000  0.000  0.000  0.000    2.20  78.82   0.79      0   3357  341.5   0.98   0.45   30.7   0.50    0.86    0.71    0.53    0.26    0.09    0.00    0.00    0.00    0.00     1368     291
