*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 170    45   0.073    0.00     238    0.03
 2015 171    46   0.082    0.01     266    0.03
 2015 172    47   0.086    0.01     280    0.04
 2015 173    48   0.089    0.01     290    0.04
 2015 174    49   0.094    0.01     310    0.04
 2015 175    50   0.103    0.01     338    0.04
 2015 176    51   0.105    0.01     347    0.04
 2015 177    52   0.106    0.01     351    0.04
 2015 178    53   0.111    0.01     368    0.03
 2015 179    54   0.116    0.01     384    0.03
 2015 180    55   0.120    0.01     400    0.03
 2015 181    56   0.125    0.01     418    0.03
 2015 182    57   0.131    0.01     440    0.03
 2015 183    58   0.137    0.01     461    0.03
 2015 184    59   0.143    0.02     480    0.03
 2015 185    60   0.149    0.02     503    0.03
 2015 186    61   0.156    0.02     531    0.03
 2015 187    62   0.163    0.02     555    0.03
 2015 188    63   0.166    0.02     567    0.03
 2015 189    64   0.169    0.02     578    0.22
 2015 190    65   0.172    0.02     588    0.19
 2015 191    66   0.178    0.03     611    0.16
 2015 192    67   0.185    0.03     641    0.14
 2015 193    68   0.193    0.03     669    0.12
 2015 194    69   0.200    0.03     696    0.11
 2015 195    70   0.206    0.04     721    0.10
 2015 196    71   0.209    0.04     732    0.08
 2015 197    72   0.212    0.04     744    0.07
 2015 198    73   0.216    0.04     762    0.06
 2015 199    74   0.219    0.04     771    0.05
 2015 200    75   0.222    0.04     786    0.04
 2015 201    76   0.225    0.04     796    0.04
 2015 202    77   0.230    0.05     815    0.03
 2015 203    78   0.232    0.05     824    0.03
 2015 204    79   0.235    0.05     836    0.03
 2015 205    80   0.237    0.05     847    0.02
 2015 206    81   0.239    0.05     854    0.02
 2015 207    82   0.241    0.05     862    0.02
 2015 208    83   0.255    0.06     920    0.02
 2015 209    84   0.268    0.07     973    0.02
 2015 210    85   0.269    0.07     978    0.03
 2015 211    86   0.270    0.07     982    0.02
 2015 212    87   0.271    0.07     987    0.02
 2015 213    88   0.305    0.09    1136    0.01
 2015 214    89   0.329    0.10    1248    0.04
 2015 215    90   0.347    0.12    1332    0.05
 2015 216    91   0.360    0.13    1395    0.05
 2015 217    92   0.370    0.14    1443    0.05
 2015 218    93   0.377    0.14    1479    0.04
 2015 219    94   0.383    0.15    1507    0.04
 2015 220    95   0.387    0.15    1528    0.03

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 147     0   0.000    0.00       0    0.00
 2015 148     1   0.000    0.00       0    0.00
 2015 149     2   0.000    0.00       0    0.00
 2015 150     3   0.000    0.00       0    0.00
 2015 151     4   0.000    0.00       0    0.00
 2015 152     5   0.000    0.00       0    0.00
 2015 153     6   0.000    0.00       0    0.00
 2015 154     7   0.000    0.00       0    0.00
 2015 155     8   0.000    0.00       0    0.00
 2015 156     9   0.000    0.00       0    0.00
 2015 157    10   0.000    0.00       0    0.00
 2015 158    11   0.000    0.00       0    0.00
 2015 159    12   0.000    0.00       0    0.00
 2015 160    13   0.000    0.00       0    0.00
 2015 161    14   0.000    0.00       0    0.00
 2015 162    15   0.000    0.00       0    0.00
 2015 163    16   0.000    0.00       0    0.00
 2015 164    17   0.000    0.00       0    0.00
 2015 165    18   0.000    0.00       1    0.00
 2015 166    19   0.000    0.00       1    0.00
 2015 167    20   0.000    0.00       1    0.00
 2015 168    21   0.000    0.00       1    0.00
 2015 169    22   0.001    0.00       3    0.00
 2015 170    23   0.003    0.00       9    0.00
