*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2017 145    38   0.054    0.00     172    0.04
 2017 146    39   0.060    0.00     195    0.04
 2017 147    40   0.066    0.00     213    0.04
 2017 148    41   0.074    0.00     239    0.04
 2017 149    42   0.076    0.00     246    0.04
 2017 150    43   0.081    0.01     264    0.09
 2017 151    44   0.087    0.01     284    0.10
 2017 152    45   0.093    0.01     304    0.11
 2017 153    46   0.101    0.01     333    0.11
 2017 154    47   0.104    0.01     342    0.11
 2017 155    48   0.107    0.01     353    0.10
 2017 156    49   0.109    0.01     361    0.09
 2017 157    50   0.113    0.01     375    0.09
 2017 158    51   0.117    0.01     389    0.08
 2017 159    52   0.121    0.01     403    0.08
 2017 160    53   0.125    0.01     417    0.07
 2017 161    54   0.129    0.01     431    0.07
 2017 162    55   0.133    0.01     445    0.06
 2017 163    56   0.136    0.01     456    0.06
 2017 164    57   0.146    0.02     494    0.05
 2017 165    58   0.156    0.02     530    0.05
 2017 166    59   0.163    0.02     558    0.05
 2017 167    60   0.171    0.02     588    0.05
 2017 168    61   0.178    0.03     613    0.05
 2017 169    62   0.184    0.03     636    0.05
 2017 170    63   0.188    0.03     651    0.04
 2017 171    64   0.192    0.03     665    0.04
 2017 172    65   0.197    0.03     684    0.04
 2017 173    66   0.201    0.04     701    0.03
 2017 174    67   0.211    0.04     739    0.03
 2017 175    68   0.213    0.04     749    0.03
 2017 176    69   0.216    0.04     759    0.03
 2017 177    70   0.218    0.04     768    0.03
 2017 178    71   0.221    0.04     780    0.02
 2017 179    72   0.224    0.04     793    0.02
 2017 180    73   0.227    0.05     806    0.02
 2017 181    74   0.229    0.05     814    0.02
 2017 182    75   0.231    0.05     822    0.02
 2017 183    76   0.233    0.05     831    0.01
 2017 184    77   0.235    0.05     837    0.01
 2017 185    78   0.238    0.05     848    0.01
 2017 186    79   0.240    0.05     857    0.01
 2017 187    80   0.241    0.05     863    0.01
 2017 188    81   0.243    0.05     869    0.01
 2017 189    82   0.244    0.05     875    0.01
 2017 190    83   0.246    0.05     882    0.01
 2017 191    84   0.287    0.08    1058    0.01
 2017 192    85   0.317    0.10    1190    0.04
 2017 193    86   0.338    0.11    1291    0.05
 2017 194    87   0.355    0.12    1370    0.06
 2017 195    88   0.368    0.14    1432    0.06
 2017 196    89   0.377    0.14    1480    0.05
 2017 197    90   0.385    0.15    1518    0.04
 2017 198    91   0.390    0.16    1547    0.04
